tleaf_c,vcmax,jmax,rlight,gs,anet
25.00,1.8130531e+01,6.5478440e+01,9.0652653e-02,1.2072166e-01,4.9342077e+00
25.50,2.2700503e+01,6.9921701e+01,9.3537776e-02,1.3955005e-01,5.9268223e+00
26.00,2.8297033e+01,7.4635516e+01,9.6504615e-02,1.6093578e-01,7.0703562e+00
26.50,3.5078998e+01,7.9628656e+01,9.9555180e-02,1.8468459e-01,8.3596307e+00
27.00,4.3187326e+01,8.4906975e+01,1.0269153e-01,2.1017016e-01,9.7668376e+00
27.50,5.2715888e+01,9.0471807e+01,1.0591575e-01,2.3611033e-01,1.1228817e+01
28.00,6.3671996e+01,9.6317691e+01,1.0923000e-01,2.6059415e-01,1.2646031e+01
28.50,7.5930418e+01,1.0242922e+02,1.1263644e-01,2.8186167e-01,1.3922414e+01
29.00,8.9191331e+01,1.0877675e+02,1.1613732e-01,2.9940064e-01,1.5024976e+01
29.50,1.0295959e+02,1.1531061e+02,1.1973490e-01,3.1377968e-01,1.5977660e+01
30.00,1.1656522e+02,1.2195371e+02,1.2343149e-01,3.2564746e-01,1.6810788e+01
30.50,1.2923687e+02,1.2859232e+02,1.2722947e-01,3.3530975e-01,1.7536591e+01
31.00,1.4022002e+02,1.3506542e+02,1.3113125e-01,3.4270762e-01,1.8147800e+01
31.50,1.4890722e+02,1.4115387e+02,1.3513929e-01,3.4750944e-01,1.8621360e+01
32.00,1.5493703e+02,1.4657177e+02,1.3925609e-01,3.4917992e-01,1.8921817e+01
32.50,1.5822941e+02,1.5096456e+02,1.4348421e-01,3.4707557e-01,1.9005838e+01
33.00,1.5895432e+02,1.5392007e+02,1.4782627e-01,3.4059057e-01,1.8830650e+01
33.50,1.5745612e+02,1.5500000e+02,1.5228492e-01,3.2940157e-01,1.8368705e+01
34.00,1.5416585e+02,1.5379661e+02,1.5686287e-01,3.1373197e-01,1.7624566e+01
34.50,1.4952679e+02,1.5001196e+02,1.6156288e-01,2.9443482e-01,1.6641269e+01
35.00,1.4394457e+02,1.4354398e+02,1.6638778e-01,2.7274150e-01,1.5487033e+01
35.50,1.3776181e+02,1.3455095e+02,1.7134044e-01,2.4985868e-01,1.4232053e+01
36.00,1.3125112e+02,1.2346334e+02,1.7642377e-01,2.2671607e-01,1.2931913e+01
36.50,1.2461932e+02,1.1092746e+02,1.8164077e-01,2.0387914e-01,1.1621786e+01
37.00,1.1801695e+02,9.7694471e+01,1.8699446e-01,1.8161017e-01,1.0318779e+01
37.50,1.1154929e+02,8.4492297e+01,1.9248795e-01,1.6001031e-01,9.0303641e+00
38.00,1.0528677e+02,7.1922352e+01,1.9812439e-01,1.3924951e-01,7.7689081e+00
38.50,9.9273812e+01,6.0405285e+01,2.0390699e-01,1.1974314e-01,6.5631239e+00
39.00,9.3535929e+01,5.0176255e+01,2.0983903e-01,1.0202982e-01,5.4512030e+00
39.50,8.8085220e+01,4.1313980e+01,2.1592383e-01,8.6502547e-02,4.4629952e+00
40.00,8.2924441e+01,3.3784124e+01,2.2216480e-01,7.3284948e-02,3.6109543e+00
40.50,7.8050015e+01,2.7482250e+01,2.2856539e-01,6.2269770e-02,2.8923665e+00
41.00,7.3454194e+01,2.2268614e+01,2.3512912e-01,5.3225548e-02,2.2954558e+00
41.50,6.9126599e+01,1.7992705e+01,2.4185958e-01,4.5871323e-02,1.8044831e+00
42.00,6.5055304e+01,1.4508557e+01,2.4876042e-01,3.9926236e-02,1.4030433e+00
