tleaf_c,vcmax,jmax,rlight,gs,anet
25.00,7.7907400e+01,1.2791858e+02,3.8953700e-01,3.9320118e-01,1.8282491e+01
25.50,8.2066017e+01,1.3213007e+02,4.0193446e-01,3.9550749e-01,1.8616330e+01
26.00,8.6431589e+01,1.3646377e+02,4.1468304e-01,3.9761283e-01,1.8943903e+01
26.50,9.1013644e+01,1.4092186e+02,4.2779141e-01,3.9950631e-01,1.9264398e+01
27.00,9.5822108e+01,1.4550606e+02,4.4126839e-01,4.0118090e-01,1.9576990e+01
27.50,1.0086732e+02,1.5021737e+02,4.5512298e-01,4.0262927e-01,1.9880817e+01
28.00,1.0616004e+02,1.5505558e+02,4.6936438e-01,4.0383559e-01,2.0174903e+01
28.50,1.1171145e+02,1.6001874e+02,4.8400197e-01,4.0479128e-01,2.0458260e+01
29.00,1.1753315e+02,1.6510208e+02,4.9904533e-01,4.0548649e-01,2.0729804e+01
29.50,1.2363711e+02,1.7029669e+02,5.1450422e-01,4.0590928e-01,2.0988315e+01
30.00,1.3003556e+02,1.7558726e+02,5.3038860e-01,4.0603688e-01,2.1232306e+01
30.50,1.3674077e+02,1.8094897e+02,5.4670863e-01,4.0585334e-01,2.1460089e+01
31.00,1.4376455e+02,1.8634272e+02,5.6347468e-01,4.0533121e-01,2.1669485e+01
31.50,1.5111723e+02,1.9170837e+02,5.8069732e-01,4.0442731e-01,2.1857563e+01
32.00,1.5880548e+02,1.9695491e+02,5.9838732e-01,4.0308321e-01,2.2020288e+01
32.50,1.6682794e+02,2.0194694e+02,6.1655569e-01,4.0121678e-01,2.2151852e+01
33.00,1.7516632e+02,2.0648665e+02,6.3521363e-01,3.9869065e-01,2.2243351e+01
33.50,1.8376735e+02,2.1029141e+02,6.5437257e-01,3.9529985e-01,2.2280978e+01
34.00,1.9250692e+02,2.1296939e+02,6.7404415e-01,3.9069349e-01,2.2242376e+01
34.50,2.0112011e+02,2.1400000e+02,6.9424026e-01,3.8431953e-01,2.2091718e+01
35.00,2.0906975e+02,2.1273367e+02,7.1497298e-01,3.7531871e-01,2.1772649e+01
35.50,2.1531882e+02,2.0843496e+02,7.3625468e-01,3.6242046e-01,2.1201394e+01
36.00,2.1800000e+02,2.0039784e+02,7.5809790e-01,3.4396499e-01,2.0266839e+01
36.50,2.1414147e+02,1.8814770e+02,7.8051548e-01,3.1819481e-01,1.8846913e+01
37.00,2.0004967e+02,1.7169442e+02,8.0352046e-01,2.8372200e-01,1.6838489e+01
37.50,1.7335479e+02,1.5172590e+02,8.2712614e-01,2.3983538e-01,1.4178962e+01
38.00,1.3636689e+02,1.2959426e+02,8.5134608e-01,1.8747534e-01,1.0910720e+01
38.50,9.6753523e+01,1.0702901e+02,8.7619408e-01,1.3320760e-01,7.4490983e+00
39.00,6.2734429e+01,8.5689619e+01,9.0168421e-01,8.7641042e-02,4.4950470e+00
39.50,3.8091821e+01,6.6784597e+01,9.2783078e-01,5.5660306e-02,2.3931456e+00
40.00,2.2187707e+01,5.0918579e+01,9.5464840e-01,3.5501501e-02,1.0504988e+00
40.50,1.2621170e+01,3.8163227e+01,9.8215191e-01,2.3356635e-02,2.2970855e-01
41.00,7.0907527e+00,2.8240171e+01,1.0103564e+00,2.0000000e-02,-3.2611142e-01
41.50,3.9602884e+00,2.0706073e+01,1.0392774e+00,2.0000000e-02,-6.7314551e-01
42.00,2.2068309e+00,1.5085242e+01,1.0689305e+00,2.0000000e-02,-8.7362226e-01
