tleaf_c,vcmax,jmax,rlight,gs,anet
25.00,2.6763523e+01,3.2766457e+01,1.3381762e-01,1.2724323e-01,5.2536784e+00
25.50,2.8040223e+01,3.6611996e+01,1.3807651e-01,1.3532733e-01,5.7174974e+00
26.00,2.9373246e+01,4.0599556e+01,1.4245604e-01,1.4232914e-01,6.1369519e+00
26.50,3.0764870e+01,4.4668213e+01,1.4695915e-01,1.4788859e-01,6.4918656e+00
27.00,3.2217449e+01,4.8750223e+01,1.5158890e-01,1.5190311e-01,6.7743513e+00
27.50,3.3733426e+01,5.2774920e+01,1.5634836e-01,1.5454966e-01,6.9910054e+00
28.00,3.5315322e+01,5.6673073e+01,1.6124071e-01,1.5614183e-01,7.1558123e+00
28.50,3.6965745e+01,6.0381129e+01,1.6626916e-01,1.5697095e-01,7.2823741e+00
29.00,3.8687378e+01,6.3844816e+01,1.7143701e-01,1.5725464e-01,7.3809069e+00
29.50,4.0482971e+01,6.7021686e+01,1.7674760e-01,1.5713352e-01,7.4582682e+00
30.00,4.2355319e+01,6.9882396e+01,1.8220436e-01,1.5670819e-01,7.5190064e+00
30.50,4.4307214e+01,7.2410740e+01,1.8781078e-01,1.5603819e-01,7.5660331e+00
31.00,4.6341362e+01,7.4602630e+01,1.9357042e-01,1.5516730e-01,7.6012891e+00
31.50,4.8460231e+01,7.6464338e+01,1.9948691e-01,1.5412509e-01,7.6260410e+00
32.00,5.0665757e+01,7.8010337e+01,2.0556395e-01,1.5293008e-01,7.6410643e+00
32.50,5.2958834e+01,7.9261048e+01,2.1180533e-01,1.5159520e-01,7.6467666e+00
33.00,5.5338360e+01,8.0240724e+01,2.1821489e-01,1.5012503e-01,7.6431634e+00
33.50,5.7799542e+01,8.0975616e+01,2.2479656e-01,1.4851609e-01,7.6298107e+00
34.00,6.0330853e+01,8.1492502e+01,2.3155434e-01,1.4675611e-01,7.6056394e+00
34.50,6.2908641e+01,8.1817573e+01,2.3849230e-01,1.4481574e-01,7.5685758e+00
35.00,6.5487730e+01,8.1975657e+01,2.4561462e-01,1.4264129e-01,7.5149701e+00
35.50,6.7985432e+01,8.1989735e+01,2.5292552e-01,1.4013984e-01,7.4386331e+00
36.00,7.0255587e+01,8.1880671e+01,2.6042932e-01,1.3715967e-01,7.3293683e+00
36.50,7.2049816e+01,8.1667127e+01,2.6813043e-01,1.3345518e-01,7.1707170e+00
37.00,7.2969249e+01,8.1365584e+01,2.7603332e-01,1.2864694e-01,6.9370544e+00
37.50,7.2429855e+01,8.0990452e+01,2.8414258e-01,1.2219147e-01,6.5911087e+00
38.00,6.9706223e+01,8.0554228e+01,2.9246286e-01,1.1342294e-01,6.0863150e+00
38.50,6.4159443e+01,8.0067670e+01,3.0099889e-01,1.0182387e-01,5.3840496e+00
39.00,5.5684645e+01,7.9539990e+01,3.0975551e-01,8.7574611e-02,4.4906160e+00
39.50,4.5114046e+01,7.8979036e+01,3.1873764e-01,7.1962961e-02,3.4872180e+00
40.00,3.4064219e+01,7.8391466e+01,3.2795030e-01,5.6987954e-02,2.5065627e+00
40.50,2.4157892e+01,7.7782911e+01,3.3739857e-01,4.4317921e-02,1.6639671e+00
41.00,1.6310910e+01,7.7158115e+01,3.4708768e-01,3.4617364e-02,1.0098683e+00
41.50,1.0637334e+01,7.6521066e+01,3.5702290e-01,2.7686609e-02,5.3614438e-01
42.00,6.7824649e+00,7.5875109e+01,3.6720962e-01,2.2945879e-02,2.0743990e-01
