tleaf_c,vcmax,jmax,rlight,gs,anet
25.00,7.9515135e+01,8.8069649e+01,3.9757567e-01,2.6541198e-01,1.2022280e+01
25.50,8.3872787e+01,9.2021628e+01,4.1022897e-01,2.6941086e-01,1.2364832e+01
26.00,8.8453473e+01,9.6136690e+01,4.2324064e-01,2.7331964e-01,1.2708427e+01
26.50,9.3267779e+01,1.0042088e+02,4.3661952e-01,2.7713232e-01,1.3052440e+01
27.00,9.8326753e+01,1.0488038e+02,4.5037461e-01,2.8083428e-01,1.3396159e+01
27.50,1.0364192e+02,1.0952153e+02,4.6451511e-01,2.8441907e-01,1.3738878e+01
28.00,1.0922531e+02,1.1435074e+02,4.7905041e-01,2.8787441e-01,1.4079815e+01
28.50,1.1508947e+02,1.1937443e+02,4.9399007e-01,2.9118492e-01,1.4418127e+01
29.00,1.2124748e+02,1.2459897e+02,5.0934387e-01,2.9434337e-01,1.4752971e+01
29.50,1.2771298e+02,1.3003047e+02,5.2512177e-01,2.9733653e-01,1.5083418e+01
30.00,1.3450021e+02,1.3567453e+02,5.4133395e-01,3.0015060e-01,1.5408473e+01
30.50,1.4162398e+02,1.4153589e+02,5.5799077e-01,3.0277388e-01,1.5727085e+01
31.00,1.4909976e+02,1.4761778e+02,5.7510281e-01,3.0519354e-01,1.6038110e+01
31.50,1.5694366e+02,1.5392101e+02,5.9268087e-01,3.0738668e-01,1.6340203e+01
32.00,1.6517245e+02,1.6044262e+02,6.1073594e-01,3.0934211e-01,1.6631965e+01
32.50,1.7380364e+02,1.6717366e+02,6.2927924e-01,3.1103672e-01,1.6911686e+01
33.00,1.8285542e+02,1.7409610e+02,6.4832221e-01,3.1244238e-01,1.7177321e+01
33.50,1.9234678e+02,1.8117802e+02,6.6787652e-01,3.1352932e-01,1.7426410e+01
34.00,2.0229747e+02,1.8836655e+02,6.8795405e-01,3.1425183e-01,1.7655772e+01
34.50,2.1272806e+02,1.9557776e+02,7.0856693e-01,3.1455787e-01,1.7861378e+01
35.00,2.2365996e+02,2.0268207e+02,7.2972751e-01,3.1436911e-01,1.8037819e+01
35.50,2.3511547e+02,2.0948459e+02,7.5144838e-01,3.1358896e-01,1.8177958e+01
36.00,2.4711777e+02,2.1569950e+02,7.7374238e-01,3.1207709e-01,1.8272017e+01
36.50,2.5969098e+02,2.2092044e+02,7.9662257e-01,3.0964916e-01,1.8306731e+01
37.00,2.7285999e+02,2.2459250e+02,8.2010229e-01,3.0604330e-01,1.8263772e+01
37.50,2.8664946e+02,2.2600000e+02,8.4419512e-01,3.0090991e-01,1.8118078e+01
38.00,3.0107682e+02,2.2429503e+02,8.6891487e-01,2.9376514e-01,1.7835268e+01
38.50,3.1610571e+02,2.1860120e+02,8.9427565e-01,2.8396410e-01,1.7368870e+01
39.00,3.3134127e+02,2.0821834e+02,9.2029180e-01,2.7063374e-01,1.6655644e+01
39.50,3.4408374e+02,1.9290850e+02,9.4697795e-01,2.5245658e-01,1.5600156e+01
40.00,3.3832551e+02,1.7315876e+02,9.7434898e-01,2.2658389e-01,1.3999580e+01
40.50,2.5530297e+02,1.5025179e+02,1.0024201e+00,1.8293454e-01,1.1149004e+01
41.00,9.8315991e+01,1.2602863e+02,1.0312067e+00,9.5115900e-02,5.1894879e+00
41.50,2.1210699e+01,1.0241511e+02,1.0607244e+00,2.9377794e-02,6.5410053e-01
42.00,3.8230473e+00,8.0950815e+01,1.0909895e+00,2.0000000e-02,-7.5362429e-01
