# pathway = c3
ci,a_net,ac,aj,ap
20.000,-8.06839462E+00,-1.84012071E+00,-5.54195401E+00, 3.00600000E+01
30.000,-4.47123843E+00,-9.97119668E-01,-2.77838736E+00, 3.00600000E+01
40.000,-1.48661912E+00,-1.76793017E-01,-4.59188537E-01, 3.00600000E+01
50.000,-3.31496522E-01, 6.21761923E-01, 1.51484503E+00, 3.00600000E+01
60.000, 3.65653323E-01, 1.39940054E+00, 3.21543254E+00, 3.00600000E+01
70.000, 1.02952735E+00, 2.15693400E+00, 4.69571093E+00, 3.00600000E+01
80.000, 1.66157693E+00, 2.89513204E+00, 5.99588700E+00, 3.00600000E+01
90.000, 2.26321598E+00, 3.61472563E+00, 7.14694487E+00, 3.00600000E+01
100.000, 2.83582086E+00, 4.31640933E+00, 8.17314692E+00, 3.00600000E+01
110.000, 3.38072988E+00, 5.00084355E+00, 9.09376282E+00, 3.00600000E+01
120.000, 3.89924267E+00, 5.66865664E+00, 9.92429093E+00, 3.00600000E+01
130.000, 4.39261938E+00, 6.32044678E+00, 1.06773379E+01, 3.00600000E+01
140.000, 4.86207983E+00, 6.95678381E+00, 1.13632629E+01, 3.00600000E+01
150.000, 5.30880270E+00, 7.57821084E+00, 1.19906574E+01, 3.00600000E+01
160.000, 5.73392486E+00, 8.18524585E+00, 1.25667066E+01, 3.00600000E+01
170.000, 6.13854071E+00, 8.77838307E+00, 1.30974656E+01, 3.00600000E+01
180.000, 6.52370185E+00, 9.35809439E+00, 1.35880737E+01, 3.00600000E+01
190.000, 6.89041680E+00, 9.92483055E+00, 1.40429208E+01, 3.00600000E+01
200.000, 7.23965108E+00, 1.04790223E+01, 1.44657795E+01, 3.00600000E+01
210.000, 7.57232734E+00, 1.10210817E+01, 1.48599095E+01, 3.00600000E+01
220.000, 7.88932583E+00, 1.15514027E+01, 1.52281425E+01, 3.00600000E+01
230.000, 8.19148498E+00, 1.20703626E+01, 1.55729497E+01, 3.00600000E+01
240.000, 8.47960223E+00, 1.25783226E+01, 1.58964976E+01, 3.00600000E+01
250.000, 8.75443493E+00, 1.30756288E+01, 1.62006934E+01, 3.00600000E+01
260.000, 9.01670151E+00, 1.35626128E+01, 1.64872231E+01, 3.00600000E+01
270.000, 9.26708258E+00, 1.40395927E+01, 1.67575821E+01, 3.00600000E+01
280.000, 9.50622232E+00, 1.45068737E+01, 1.70131017E+01, 3.00600000E+01
290.000, 9.73472982E+00, 1.49647486E+01, 1.72549712E+01, 3.00600000E+01
300.000, 9.95318050E+00, 1.54134986E+01, 1.74842558E+01, 3.00600000E+01
310.000, 1.01621175E+01, 1.58533937E+01, 1.77019129E+01, 3.00600000E+01
320.000, 1.03620534E+01, 1.62846936E+01, 1.79088050E+01, 3.00600000E+01
330.000, 1.05534713E+01, 1.67076476E+01, 1.81057116E+01, 3.00600000E+01
340.000, 1.07368267E+01, 1.71224957E+01, 1.82933384E+01, 3.00600000E+01
350.000, 1.09125484E+01, 1.75294688E+01, 1.84723265E+01, 3.00600000E+01
360.000, 1.10810406E+01, 1.79287889E+01, 1.86432590E+01, 3.00600000E+01
370.000, 1.12426836E+01, 1.83206699E+01, 1.88066677E+01, 3.00600000E+01
380.000, 1.13978357E+01, 1.87053177E+01, 1.89630388E+01, 3.00600000E+01
390.000, 1.15468340E+01, 1.90829309E+01, 1.91128172E+01, 3.00600000E+01
400.000, 1.16899959E+01, 1.94537005E+01, 1.92564114E+01, 3.00600000E+01
410.000, 1.18276200E+01, 1.98178111E+01, 1.93941965E+01, 3.00600000E+01
420.000, 1.19599877E+01, 2.01754403E+01, 1.95265180E+01, 3.00600000E+01
430.000, 1.20873637E+01, 2.05267598E+01, 1.96536947E+01, 3.00600000E+01
440.000, 1.22099972E+01, 2.08719350E+01, 1.97760209E+01, 3.00600000E+01
450.000, 1.23281232E+01, 2.12111258E+01, 1.98937688E+01, 3.00600000E+01
460.000, 1.24419629E+01, 2.15444863E+01, 2.00071908E+01, 3.00600000E+01
470.000, 1.25517245E+01, 2.18721658E+01, 2.01165209E+01, 3.00600000E+01
480.000, 1.26576047E+01, 2.21943081E+01, 2.02219768E+01, 3.00600000E+01
490.000, 1.27597887E+01, 2.25110525E+01, 2.03237606E+01, 3.00600000E+01
500.000, 1.28584510E+01, 2.28225334E+01, 2.04220610E+01, 3.00600000E+01
510.000, 1.29537566E+01, 2.31288811E+01, 2.05170537E+01, 3.00600000E+01
520.000, 1.30458609E+01, 2.34302213E+01, 2.06089030E+01, 3.00600000E+01
530.000, 1.31349109E+01, 2.37266759E+01, 2.06977623E+01, 3.00600000E+01
540.000, 1.32210453E+01, 2.40183626E+01, 2.07837753E+01, 3.00600000E+01
550.000, 1.33043951E+01, 2.43053957E+01, 2.08670765E+01, 3.00600000E+01
560.000, 1.33850843E+01, 2.45878856E+01, 2.09477923E+01, 3.00600000E+01
570.000, 1.34632300E+01, 2.48659393E+01, 2.10260412E+01, 3.00600000E+01
580.000, 1.35389432E+01, 2.51396605E+01, 2.11019346E+01, 3.00600000E+01
590.000, 1.36123288E+01, 2.54091496E+01, 2.11755771E+01, 3.00600000E+01
600.000, 1.36834862E+01, 2.56745042E+01, 2.12470676E+01, 3.00600000E+01
610.000, 1.37525096E+01, 2.59358185E+01, 2.13164990E+01, 3.00600000E+01
620.000, 1.38194881E+01, 2.61931842E+01, 2.13839590E+01, 3.00600000E+01
