par,a_net,gs,ci
.00,-9.00000000E-01, 1.00000000E-02, 5.44000000E+02
50.00, 1.99790699E+00, 4.40922001E-02, 3.27500756E+02
100.00, 4.32226854E+00, 8.37550612E-02, 3.17430307E+02
150.00, 6.10456120E+00, 1.14167883E-01, 3.14447937E+02
200.00, 7.37409751E+00, 1.35831491E-01, 3.13138287E+02
250.00, 8.22701758E+00, 1.50385597E-01, 3.12470154E+02
300.00, 8.78377090E+00, 1.59885843E-01, 3.12099576E+02
350.00, 9.14814128E+00, 1.66103002E-01, 3.11879822E+02
400.00, 9.39256902E+00, 1.70274699E-01, 3.11741964E+02
450.00, 9.56232850E+00, 1.73171437E-01, 3.11649832E+02
500.00, 9.68460069E+00, 1.75257147E-01, 3.11584997E+02
550.00, 9.77571035E+00, 1.76811740E-01, 3.11537907E+02
600.00, 9.84565315E+00, 1.78005375E-01, 3.11502419E+02
650.00, 9.90074790E+00, 1.78946266E-01, 3.11475121E+02
700.00, 9.94509033E+00, 1.79701995E-01, 3.11452599E+02
750.00, 9.98147839E+00, 1.80323371E-01, 3.11434855E+02
800.00, 1.00118082E+01, 1.80840645E-01, 3.11419841E+02
850.00, 1.00374543E+01, 1.81278744E-01, 3.11407557E+02
900.00, 1.00593889E+01, 1.81652498E-01, 3.11396637E+02
950.00, 1.00783668E+01, 1.81976980E-01, 3.11387765E+02
1000.00, 1.00949215E+01, 1.82259050E-01, 3.11379576E+02
1050.00, 1.01094972E+01, 1.82508153E-01, 3.11372751E+02
1100.00, 1.01224166E+01, 1.82728725E-01, 3.11366609E+02
1150.00, 1.01339455E+01, 1.82925576E-01, 3.11361149E+02
1200.00, 1.01442830E+01, 1.83100898E-01, 3.11355689E+02
1250.00, 1.01536290E+01, 1.83261123E-01, 3.11351595E+02
1300.00, 1.01620967E+01, 1.83405483E-01, 3.11347500E+02
1350.00, 1.01698162E+01, 1.83537741E-01, 3.11344087E+02
1400.00, 1.01768705E+01, 1.83657983E-01, 3.11340675E+02
1450.00, 1.01833407E+01, 1.83767676E-01, 3.11337263E+02
1500.00, 1.01893093E+01, 1.83869722E-01, 3.11334533E+02
1550.00, 1.01948205E+01, 1.83963512E-01, 3.11331803E+02
1600.00, 1.01999383E+01, 1.84051611E-01, 3.11329756E+02
1650.00, 1.02046777E+01, 1.84131462E-01, 3.11327026E+02
1700.00, 1.02091037E+01, 1.84207070E-01, 3.11324978E+02
1750.00, 1.02132484E+01, 1.84279019E-01, 3.11323613E+02
1800.00, 1.02171124E+01, 1.84344480E-01, 3.11321566E+02
1850.00, 1.02207341E+01, 1.84405568E-01, 3.11319519E+02
1900.00, 1.02241492E+01, 1.84464346E-01, 3.11318154E+02
1950.00, 1.02273632E+01, 1.84519493E-01, 3.11316789E+02
2000.00, 1.02303931E+01, 1.84571316E-01, 3.11315424E+02
