tleaf_c,a_net,gs,ci
5.00, 3.27948636E+00, 6.59609719E-02, 3.20450260E+02
6.00, 3.56563642E+00, 7.08435169E-02, 3.19470143E+02
7.00, 3.86795492E+00, 7.60024679E-02, 3.18572014E+02
8.00, 4.18608505E+00, 8.14310725E-02, 3.17749627E+02
9.00, 4.51945891E+00, 8.71194968E-02, 3.16997521E+02
10.00, 4.86728040E+00, 9.30546425E-02, 3.16311014E+02
11.00, 5.22850563E+00, 9.92190797E-02, 3.15685481E+02
12.00, 5.60181656E+00, 1.05588694E-01, 3.15114904E+02
13.00, 5.98561722E+00, 1.12138708E-01, 3.14596951E+02
14.00, 6.37797556E+00, 1.18833761E-01, 3.14125743E+02
15.00, 6.77661371E+00, 1.25635872E-01, 3.13698359E+02
16.00, 7.17884762E+00, 1.32499868E-01, 3.13311942E+02
17.00, 7.58151433E+00, 1.39370870E-01, 3.12962997E+02
18.00, 7.98089402E+00, 1.46184979E-01, 3.12648820E+02
19.00, 8.37261513E+00, 1.52870218E-01, 3.12368907E+02
20.00, 8.75146188E+00, 1.59334769E-01, 3.12120003E+02
21.00, 9.11125419E+00, 1.65474420E-01, 3.11901751E+02
22.00, 9.44460007E+00, 1.71162097E-01, 3.11713163E+02
23.00, 9.74269822E+00, 1.76249521E-01, 3.11555407E+02
24.00, 9.99504602E+00, 1.80555152E-01, 3.11428317E+02
25.00, 1.01893093E+01, 1.83869722E-01, 3.11334533E+02
26.00, 1.03112185E+01, 1.85949766E-01, 3.11277385E+02
27.00, 1.03447787E+01, 1.86523096E-01, 3.11262217E+02
28.00, 1.02728768E+01, 1.85296457E-01, 3.11295644E+02
29.00, 1.00786010E+01, 1.81980633E-01, 3.11387485E+02
30.00, 9.74738648E+00, 1.76328735E-01, 3.11552599E+02
31.00, 9.26986945E+00, 1.68179954E-01, 3.11809994E+02
32.00, 8.64525582E+00, 1.57522597E-01, 3.12187778E+02
33.00, 7.88399512E+00, 1.44532264E-01, 3.12722656E+02
34.00, 7.00900359E+00, 1.29601675E-01, 3.13470210E+02
35.00, 6.05406649E+00, 1.13306638E-01, 3.14510689E+02
36.00, 5.05981799E+00, 9.63407557E-02, 3.15967975E+02
37.00, 4.06820979E+00, 7.94196361E-02, 3.18041230E+02
38.00, 3.11740330E+00, 6.31951332E-02, 3.21072320E+02
39.00, 2.23868285E+00, 4.82008933E-02, 3.25688253E+02
40.00, 1.45663065E+00, 3.48558801E-02, 3.33135843E+02
41.00, 7.93043175E-01, 2.35324140E-02, 3.46079944E+02
42.00, 2.72436676E-01, 1.46490364E-02, 3.70243867E+02
43.00,-1.96093623E-01, 1.00000000E-02, 4.31374980E+02
44.00,-8.28204007E-01, 1.00000000E-02, 5.32512641E+02
45.00,-1.38066282E+00, 1.00000000E-02, 6.20906051E+02
