vpd_pa,gs_leuning,gs_medlyn,gs_katul
100.00, 1.05000162E-01, 6.24806870E-01, 6.78040290E-01
200.00, 9.75133380E-02, 4.51207197E-01, 4.82130158E-01
300.00, 9.08405832E-02, 3.74190108E-01, 3.95047283E-01
400.00, 8.48563309E-02, 3.28221421E-01, 3.42967328E-01
500.00, 7.94621075E-02, 2.96816749E-01, 3.07311817E-01
600.00, 7.45771017E-02, 2.73603386E-01, 2.80905345E-01
700.00, 7.01370583E-02, 2.55546410E-01, 2.60320452E-01
800.00, 6.60876311E-02, 2.40973664E-01, 2.43673398E-01
900.00, 6.23848976E-02, 2.28890691E-01, 2.29842468E-01
1000.00, 5.89913168E-02, 2.18660497E-01, 2.18104189E-01
1100.00, 5.58756703E-02, 2.09850339E-01, 2.07975202E-01
1200.00, 5.30104585E-02, 2.02159377E-01, 1.99111935E-01
1300.00, 5.03722731E-02, 1.95368421E-01, 1.91267392E-01
1400.00, 4.79414031E-02, 1.89314098E-01, 1.84258450E-01
1500.00, 4.56995669E-02, 1.83869722E-01, 1.77942578E-01
1600.00, 4.36308868E-02, 1.78941398E-01, 1.72210830E-01
1700.00, 4.17208460E-02, 1.74450165E-01, 1.66975741E-01
1800.00, 3.99569199E-02, 1.70336214E-01, 1.62169371E-01
1900.00, 3.83267571E-02, 1.66549538E-01, 1.57734058E-01
2000.00, 3.68197975E-02, 1.63048122E-01, 1.53622938E-01
2100.00, 3.54258489E-02, 1.59796544E-01, 1.49796740E-01
2200.00, 3.41358026E-02, 1.56767446E-01, 1.46223599E-01
2300.00, 3.29411778E-02, 1.53937803E-01, 1.42876691E-01
2400.00, 3.18339933E-02, 1.51283412E-01, 1.39731268E-01
2500.00, 3.08072062E-02, 1.48789674E-01, 1.36767489E-01
2600.00, 2.98543223E-02, 1.46438784E-01, 1.33967651E-01
2700.00, 2.89690431E-02, 1.44219135E-01, 1.31316882E-01
2800.00, 2.81454725E-02, 1.42119056E-01, 1.28801792E-01
2900.00, 2.73788468E-02, 1.40125719E-01, 1.26410281E-01
3000.00, 2.66644071E-02, 1.38233728E-01, 1.24133190E-01
3100.00, 2.59976300E-02, 1.36431875E-01, 1.21959519E-01
3200.00, 2.53749700E-02, 1.34714921E-01, 1.19883551E-01
3300.00, 2.47925223E-02, 1.33075008E-01, 1.17895814E-01
3400.00, 2.42470393E-02, 1.31507796E-01, 1.15990916E-01
3500.00, 2.37353883E-02, 1.30008282E-01, 1.14162273E-01
3600.00, 2.32552982E-02, 1.28569891E-01, 1.12405383E-01
3700.00, 2.28040665E-02, 1.27190226E-01, 1.10715300E-01
3800.00, 2.23793156E-02, 1.25864272E-01, 1.09087435E-01
3900.00, 2.19792298E-02, 1.24590051E-01, 1.07517524E-01
4000.00, 2.16017894E-02, 1.23362112E-01, 1.06002322E-01
