tleaf_c,vcmax,jmax,rlight,gs,anet
25.00,1.8130531e+01,6.5478440e+01,9.0652653e-02,1.1265553e-01,4.5390288e+00
25.50,2.2700503e+01,6.9921701e+01,9.3537776e-02,1.2821183e-01,5.3647505e+00
26.00,2.8297033e+01,7.4635516e+01,9.6504615e-02,1.4519689e-01,6.2807917e+00
26.50,3.5078998e+01,7.9628656e+01,9.9555180e-02,1.6327160e-01,7.2726883e+00
27.00,4.3187326e+01,8.4906975e+01,1.0269153e-01,1.8194472e-01,8.3172415e+00
27.50,5.2715888e+01,9.0471807e+01,1.0591575e-01,2.0062000e-01,9.3847814e+00
28.00,6.3671996e+01,9.6317691e+01,1.0923000e-01,2.1869502e-01,1.0443715e+01
28.50,7.5930418e+01,1.0242922e+02,1.1263644e-01,2.3564350e-01,1.1465158e+01
29.00,8.9191331e+01,1.0877675e+02,1.1613732e-01,2.5106019e-01,1.2425385e+01
29.50,1.0295959e+02,1.1531061e+02,1.1973490e-01,2.6463891e-01,1.3305157e+01
30.00,1.1656522e+02,1.2195371e+02,1.2343149e-01,2.7612944e-01,1.4087242e+01
30.50,1.2923687e+02,1.2859232e+02,1.2722947e-01,2.8527008e-01,1.4753586e+01
31.00,1.4022002e+02,1.3506542e+02,1.3113125e-01,2.9177989e-01,1.5283824e+01
31.50,1.4890722e+02,1.4115387e+02,1.3513929e-01,2.9533831e-01,1.5655115e+01
32.00,1.5493703e+02,1.4657177e+02,1.3925609e-01,2.9563710e-01,1.5844162e+01
32.50,1.5822941e+02,1.5096456e+02,1.4348421e-01,2.9243752e-01,1.5830875e+01
33.00,1.5895432e+02,1.5392007e+02,1.4782627e-01,2.8564393e-01,1.5603214e+01
33.50,1.5745612e+02,1.5500000e+02,1.5228492e-01,2.7538608e-01,1.5161921e+01
34.00,1.5416585e+02,1.5379661e+02,1.5686287e-01,2.6203733e-01,1.4522787e+01
34.50,1.4952679e+02,1.5001196e+02,1.6156288e-01,2.4618469e-01,1.3715387e+01
35.00,1.4394457e+02,1.4354398e+02,1.6638778e-01,2.2853634e-01,1.2778329e+01
35.50,1.3776181e+02,1.3455095e+02,1.7134044e-01,2.0982375e-01,1.1753183e+01
36.00,1.3125112e+02,1.2346334e+02,1.7642377e-01,1.9070239e-01,1.0678972e+01
36.50,1.2461932e+02,1.1092746e+02,1.8164077e-01,1.7171956e-01,9.5891385e+00
37.00,1.1801695e+02,9.7694471e+01,1.8699446e-01,1.5328963e-01,8.5104559e+00
37.50,1.1154929e+02,8.4492297e+01,1.9248795e-01,1.3572460e-01,7.4639659e+00
38.00,1.0528677e+02,7.1922352e+01,1.9812439e-01,1.1925838e-01,6.4664956e+00
38.50,9.9273812e+01,6.0405285e+01,2.0390699e-01,1.0407446e-01,5.5321156e+00
39.00,9.3535929e+01,5.0176255e+01,2.0983903e-01,9.0313703e-02,4.6726560e+00
39.50,8.8085220e+01,4.1313980e+01,2.1592383e-01,7.8071984e-02,3.8972148e+00
40.00,8.2924441e+01,3.3784124e+01,2.2216480e-01,6.7383307e-02,3.2110421e+00
40.50,7.8050015e+01,2.7482250e+01,2.2856539e-01,5.8214198e-02,2.6148365e+00
41.00,7.3454194e+01,2.2268614e+01,2.3512912e-01,5.0468079e-02,2.1049399e+00
41.50,6.9126599e+01,1.7992705e+01,2.4185958e-01,4.4006421e-02,1.6744092e+00
42.00,6.5055304e+01,1.4508557e+01,2.4876042e-01,3.8666852e-02,1.3143819e+00
