tleaf_c,vcmax_m4,vcmax_m3,jmax_m4,jmax_m3,rlight,gs,anet
25.00,7.7907400e+01,7.6472202e+01,1.2791858e+02,1.2692159e+02,3.8953700e-01,4.8350274e-01,1.5582484e+01
25.50,8.2066017e+01,8.2099519e+01,1.3213007e+02,1.3334997e+02,4.0193446e-01,4.4363725e-01,1.5764215e+01
26.00,8.6431589e+01,8.7996467e+01,1.3646377e+02,1.3984117e+02,4.1468304e-01,4.1430633e-01,1.5945513e+01
26.50,9.1013644e+01,9.4148508e+01,1.4092186e+02,1.4634857e+02,4.2779141e-01,3.9157353e-01,1.6123682e+01
27.00,9.5822108e+01,1.0053488e+02,1.4550606e+02,1.5281845e+02,4.4126839e-01,3.7326247e-01,1.6296749e+01
27.50,1.0086732e+02,1.0712787e+02,1.5021737e+02,1.5919025e+02,4.5512298e-01,3.5807349e-01,1.6463215e+01
28.00,1.0616004e+02,1.1389229e+02,1.5505558e+02,1.6539695e+02,4.6936438e-01,3.4516313e-01,1.6621762e+01
28.50,1.1171145e+02,1.2078497e+02,1.6001874e+02,1.7136601e+02,4.8400197e-01,3.3395838e-01,1.6771167e+01
29.00,1.1753315e+02,1.2775463e+02,1.6510208e+02,1.7702061e+02,4.9904533e-01,3.2406242e-01,1.6910308e+01
29.50,1.2363711e+02,1.3474199e+02,1.7029669e+02,1.8228137e+02,5.1450422e-01,3.1517855e-01,1.7037965e+01
30.00,1.3003556e+02,1.4168031e+02,1.7558726e+02,1.8706852e+02,5.3038860e-01,3.0708421e-01,1.7152816e+01
30.50,1.3674077e+02,1.4849631e+02,1.8094897e+02,1.9130432e+02,5.4670863e-01,2.9959722e-01,1.7253228e+01
31.00,1.4376455e+02,1.5511156e+02,1.8634272e+02,1.9491585e+02,5.6347468e-01,2.9257583e-01,1.7337274e+01
31.50,1.5111723e+02,1.6144442e+02,1.9170837e+02,1.9783781e+02,5.8069732e-01,2.8589367e-01,1.7402381e+01
32.00,1.5880548e+02,1.6741223e+02,1.9695491e+02,2.0001530e+02,5.9838732e-01,2.7942545e-01,1.7444939e+01
32.50,1.6682794e+02,1.7293400e+02,2.0194694e+02,2.0140626e+02,6.1655569e-01,2.7304822e-01,1.7459913e+01
33.00,1.7516632e+02,1.7793314e+02,2.0648665e+02,2.0198347e+02,6.3521363e-01,2.6661734e-01,1.7439864e+01
33.50,1.8376735e+02,1.8234027e+02,2.1029141e+02,2.0173590e+02,6.5437257e-01,2.5995522e-01,1.7373708e+01
34.00,1.9250692e+02,1.8609588e+02,2.1296939e+02,2.0066926e+02,6.7404415e-01,2.5281661e-01,1.7244462e+01
34.50,2.0112011e+02,1.8915256e+02,2.1400000e+02,1.9880575e+02,6.9424026e-01,2.4485275e-01,1.7026045e+01
35.00,2.0906975e+02,1.9147668e+02,2.1273367e+02,1.9618302e+02,7.1497298e-01,2.3555635e-01,1.6678704e+01
35.50,2.1531882e+02,1.9304951e+02,2.0843496e+02,1.9285239e+02,7.3625468e-01,2.2421481e-01,1.6144080e+01
36.00,2.1800000e+02,1.9386748e+02,2.0039784e+02,1.8887652e+02,7.5809790e-01,2.0988347e-01,1.5342427e+01
36.50,2.1414147e+02,1.9394179e+02,1.8814770e+02,1.8432673e+02,7.8051548e-01,1.9150290e-01,1.4179864e+01
37.00,2.0004967e+02,1.9329732e+02,1.7169442e+02,1.7928015e+02,8.0352046e-01,1.6823958e-01,1.2575091e+01
37.50,1.7335479e+02,1.9197099e+02,1.5172590e+02,1.7381686e+02,8.2712614e-01,1.4009763e-01,1.0510728e+01
38.00,1.3636689e+02,1.9000974e+02,1.2959426e+02,1.6801731e+02,8.5134608e-01,1.0866364e-01,8.0995208e+00
38.50,9.6753523e+01,1.8746821e+02,1.0702901e+02,1.6195995e+02,8.7619408e-01,7.7492216e-02,5.6270519e+00
39.00,6.2734429e+01,1.8440648e+02,8.5689619e+01,1.5571940e+02,9.0168421e-01,5.1014640e-02,3.4713103e+00
39.50,3.8091821e+01,1.8088770e+02,6.6784597e+01,1.4936493e+02,9.2783078e-01,3.1800263e-02,1.8722087e+00
40.00,2.2187707e+01,1.7697611e+02,5.0918579e+01,1.4295946e+02,9.5464840e-01,1.9391617e-02,8.1808217e-01
40.50,1.2621170e+01,1.7273519e+02,3.8163227e+01,1.3655896e+02,9.8215191e-01,1.1834051e-02,1.6196578e-01
41.00,7.0907527e+00,1.6822616e+02,2.8240171e+01,1.3021217e+02,1.0103564e+00,1.0000000e-02,-3.4490466e-01
41.50,3.9602884e+00,1.6350689e+02,2.0706073e+01,1.2396066e+02,1.0392774e+00,1.0000000e-02,-6.8031590e-01
42.00,2.2068309e+00,1.5863100e+02,1.5085242e+01,1.1783908e+02,1.0689305e+00,1.0000000e-02,-8.7638775e-01
