tleaf_c,vcmax,jmax,rlight,gs,anet
25.00,2.6763523e+01,3.2766457e+01,1.3381762e-01,1.1113128e-01,4.4643897e+00
25.50,2.8040223e+01,3.6611996e+01,1.3807651e-01,1.1649600e-01,4.7839203e+00
26.00,2.9373246e+01,4.0599556e+01,1.4245604e-01,1.2119875e-01,5.0769088e+00
26.50,3.0764870e+01,4.4668213e+01,1.4695915e-01,1.2519465e-01,5.3398241e+00
27.00,3.2217449e+01,4.8750223e+01,1.5158890e-01,1.2847988e-01,5.5713758e+00
27.50,3.3733426e+01,5.2774920e+01,1.5634836e-01,1.3109082e-01,5.7720996e+00
28.00,3.5315322e+01,5.6673073e+01,1.6124071e-01,1.3308066e-01,5.9436928e+00
28.50,3.6965745e+01,6.0381129e+01,1.6626916e-01,1.3451550e-01,6.0884890e+00
29.00,3.8687378e+01,6.3844816e+01,1.7143701e-01,1.3546170e-01,6.2090148e+00
29.50,4.0482971e+01,6.7021686e+01,1.7674760e-01,1.3597834e-01,6.3077069e+00
30.00,4.2355319e+01,6.9882396e+01,1.8220436e-01,1.3612256e-01,6.3868253e+00
30.50,4.4307214e+01,7.2410740e+01,1.8781078e-01,1.3594217e-01,6.4483519e+00
31.00,4.6341362e+01,7.4602630e+01,1.9357042e-01,1.3547765e-01,6.4939907e+00
31.50,4.8460231e+01,7.6464338e+01,1.9948691e-01,1.3476302e-01,6.5251793e+00
32.00,5.0665757e+01,7.8010337e+01,2.0556395e-01,1.3382927e-01,6.5431254e+00
32.50,5.2958834e+01,7.9261048e+01,2.1180533e-01,1.3269922e-01,6.5487618e+00
33.00,5.5338360e+01,8.0240724e+01,2.1821489e-01,1.3139011e-01,6.5427441e+00
33.50,5.7799542e+01,8.0975616e+01,2.2479656e-01,1.2991254e-01,6.5253855e+00
34.00,6.0330853e+01,8.1492502e+01,2.3155434e-01,1.2827187e-01,6.4965608e+00
34.50,6.2908641e+01,8.1817573e+01,2.3849230e-01,1.2645844e-01,6.4554188e+00
35.00,6.5487730e+01,8.1975657e+01,2.4561462e-01,1.2444501e-01,6.4000235e+00
35.50,6.7985432e+01,8.1989735e+01,2.5292552e-01,1.2218194e-01,6.3267680e+00
36.00,7.0255587e+01,8.1880671e+01,2.6042932e-01,1.1957461e-01,6.2292873e+00
36.50,7.2049816e+01,8.1667127e+01,2.6813043e-01,1.1646648e-01,6.0969866e+00
37.00,7.2969249e+01,8.1365584e+01,2.7603332e-01,1.1260642e-01,5.9128997e+00
37.50,7.2429855e+01,8.0990452e+01,2.8414258e-01,1.0762125e-01,5.6514036e+00
38.00,6.9706223e+01,8.0554228e+01,2.9246286e-01,1.0100735e-01,5.2774841e+00
38.50,6.4159443e+01,8.0067670e+01,3.0099889e-01,9.2236064e-02,4.7531616e+00
39.00,5.5684645e+01,7.9539990e+01,3.0975551e-01,8.1093260e-02,4.0599172e+00
39.50,4.5114046e+01,7.8979036e+01,3.1873764e-01,6.8192302e-02,3.2341925e+00
40.00,3.4064219e+01,7.8391466e+01,3.2795030e-01,5.5076795e-02,2.3770548e+00
40.50,2.4157892e+01,7.7782911e+01,3.3739857e-01,4.3444284e-02,1.6042146e+00
41.00,1.6310910e+01,7.7158115e+01,3.4708768e-01,3.4244041e-02,9.8406801e-01
41.50,1.0637334e+01,7.6521066e+01,3.5702290e-01,2.7533289e-02,5.2541973e-01
42.00,6.7824649e+00,7.5875109e+01,3.6720962e-01,2.2884086e-02,2.0308429e-01
