tleaf_c,vcmax_m4,vcmax_m3,jmax_m4,jmax_m3,rlight,gs,anet
25.00,7.9515135e+01,7.1114885e+01,8.8069649e+01,8.3538477e+01,3.9757567e-01,3.8656717e-01,1.2392459e+01
25.50,8.3872787e+01,7.6202523e+01,9.2021628e+01,8.8733115e+01,4.1022897e-01,3.5883818e-01,1.2681382e+01
26.00,8.8453473e+01,8.1599096e+01,9.6136690e+01,9.4156275e+01,4.2324064e-01,3.3892157e-01,1.2972325e+01
26.50,9.3267779e+01,8.7314212e+01,1.0042088e+02,9.9801371e+01,4.3661952e-01,3.2387831e-01,1.3263277e+01
27.00,9.8326753e+01,9.3355912e+01,1.0488038e+02,1.0565809e+02,4.5037461e-01,3.1209440e-01,1.3552658e+01
27.50,1.0364192e+02,9.9730209e+01,1.0952153e+02,1.1171180e+02,4.6451511e-01,3.0259268e-01,1.3839080e+01
28.00,1.0922531e+02,1.0644056e+02,1.1435074e+02,1.1794302e+02,4.7905041e-01,2.9474091e-01,1.4121249e+01
28.50,1.1508947e+02,1.1348728e+02,1.1937443e+02,1.2432679e+02,4.9399007e-01,2.8811745e-01,1.4397975e+01
29.00,1.2124748e+02,1.2086686e+02,1.2459897e+02,1.3083217e+02,5.0934387e-01,2.8241895e-01,1.4668061e+01
29.50,1.2771298e+02,1.2857127e+02,1.3003047e+02,1.3742182e+02,5.2512177e-01,2.7742855e-01,1.4930353e+01
30.00,1.3450021e+02,1.3658717e+02,1.3567453e+02,1.4405168e+02,5.4133395e-01,2.7297870e-01,1.5183654e+01
30.50,1.4162398e+02,1.4489512e+02,1.4153589e+02,1.5067082e+02,5.5799077e-01,2.6893882e-01,1.5426726e+01
31.00,1.4909976e+02,1.5346875e+02,1.4761778e+02,1.5722162e+02,5.7510281e-01,2.6521326e-01,1.5658367e+01
31.50,1.5694366e+02,1.6227402e+02,1.5392101e+02,1.6364011e+02,5.9268087e-01,2.6171221e-01,1.5877170e+01
32.00,1.6517245e+02,1.7126851e+02,1.6044262e+02,1.6985678e+02,6.1073594e-01,2.5837040e-01,1.6081729e+01
32.50,1.7380364e+02,1.8040087e+02,1.6717366e+02,1.7579773e+02,6.2927924e-01,2.5512775e-01,1.6270432e+01
33.00,1.8285542e+02,1.8961048e+02,1.7409610e+02,1.8138621e+02,6.4832221e-01,2.5192493e-01,1.6441349e+01
33.50,1.9234678e+02,1.9882739e+02,1.8117802e+02,1.8654453e+02,6.6787652e-01,2.4871492e-01,1.6592331e+01
34.00,2.0229747e+02,2.0797256e+02,1.8836655e+02,1.9119637e+02,6.8795405e-01,2.4543970e-01,1.6720569e+01
34.50,2.1272806e+02,2.1695864e+02,1.9557776e+02,1.9526922e+02,7.0856693e-01,2.4204862e-01,1.6822712e+01
35.00,2.2365996e+02,2.2569109e+02,2.0268207e+02,1.9869705e+02,7.2972751e-01,2.3847085e-01,1.6894188e+01
35.50,2.3511547e+02,2.3406994e+02,2.0948459e+02,2.0142286e+02,7.5144838e-01,2.3463260e-01,1.6929167e+01
36.00,2.4711777e+02,2.4199197e+02,2.1569950e+02,2.0340102e+02,7.7374238e-01,2.3043283e-01,1.6919672e+01
36.50,2.5969098e+02,2.4935339e+02,2.2092044e+02,2.0459926e+02,7.9662257e-01,2.2574408e-01,1.6854942e+01
37.00,2.7285999e+02,2.5605292e+02,2.2459250e+02,2.0500000e+02,8.2010229e-01,2.2040138e-01,1.6720349e+01
37.50,2.8664946e+02,2.6199509e+02,2.2600000e+02,2.0460117e+02,8.4419512e-01,2.1417760e-01,1.6495668e+01
38.00,3.0107682e+02,2.6709359e+02,2.2429503e+02,2.0341615e+02,8.6891487e-01,2.0676856e-01,1.6153155e+01
38.50,3.1610571e+02,2.7127447e+02,2.1860120e+02,2.0147311e+02,8.9427565e-01,1.9776839e-01,1.5654861e+01
39.00,3.3134127e+02,2.7447900e+02,2.0821834e+02,1.9881361e+02,9.2029180e-01,1.8660779e-01,1.4947342e+01
39.50,3.4408374e+02,2.7666589e+02,1.9290850e+02,1.9549068e+02,9.4697795e-01,1.7237545e-01,1.3944803e+01
40.00,3.3832551e+02,2.7781288e+02,1.7315876e+02,1.9156655e+02,9.7434898e-01,1.5294442e-01,1.2451526e+01
40.50,2.5530297e+02,2.7791731e+02,1.5025179e+02,1.8711010e+02,1.0024201e+00,1.2079114e-01,9.7848952e+00
41.00,9.8315991e+01,2.7699594e+02,1.2602863e+02,1.8219435e+02,1.0312067e+00,5.9175932e-02,4.4019060e+00
41.50,2.1210699e+01,2.7508383e+02,1.0241511e+02,1.7689398e+02,1.0607244e+00,1.6010170e-02,5.4509086e-01
42.00,3.8230473e+00,2.7223247e+02,8.0950815e+01,1.7128313e+02,1.0909895e+00,1.0000000e-02,-7.5362429e-01
