ci,ac,aj,anet
40.00,-1.2793946e+00,-1.7580268e+00,-1.7580268e+00
55.28,1.9721932e+00,4.2658705e+00,1.9721932e+00
70.56,5.0954123e+00,9.1015873e+00,5.0954123e+00
85.84,8.0977174e+00,1.3069109e+01,8.0977174e+00
101.12,1.0985997e+01,1.6382986e+01,1.0985997e+01
116.40,1.3766626e+01,1.9192457e+01,1.3766626e+01
131.69,1.6445512e+01,2.1604540e+01,1.6445512e+01
146.97,1.9028140e+01,2.3697980e+01,1.9028140e+01
162.25,2.1519605e+01,2.5532005e+01,2.1519605e+01
177.53,2.3924652e+01,2.7152021e+01,2.3924652e+01
192.81,2.6247699e+01,2.8593421e+01,2.6247699e+01
208.09,2.8492871e+01,2.9884202e+01,2.8492871e+01
223.37,3.0664017e+01,3.1046801e+01,3.0664017e+01
238.65,3.2764741e+01,3.2099407e+01,3.2099407e+01
253.93,3.4798414e+01,3.3056926e+01,3.3056926e+01
269.21,3.6768195e+01,3.3931685e+01,3.3931685e+01
284.49,3.8677048e+01,3.4733970e+01,3.4733970e+01
299.78,4.0527759e+01,3.5472428e+01,3.5472428e+01
315.06,4.2322942e+01,3.6154386e+01,3.6154386e+01
330.34,4.4065061e+01,3.6786088e+01,3.6786088e+01
345.62,4.5756434e+01,3.7372892e+01,3.7372892e+01
360.90,4.7399246e+01,3.7919421e+01,3.7919421e+01
376.18,4.8995559e+01,3.8429684e+01,3.8429684e+01
391.46,5.0547320e+01,3.8907174e+01,3.8907174e+01
406.74,5.2056368e+01,3.9354951e+01,3.9354951e+01
422.02,5.3524443e+01,3.9775705e+01,3.9775705e+01
437.30,5.4953191e+01,4.0171809e+01,4.0171809e+01
452.58,5.6344171e+01,4.0545369e+01,4.0545369e+01
467.87,5.7698862e+01,4.0898256e+01,4.0898256e+01
483.15,5.9018665e+01,4.1232139e+01,4.1232139e+01
498.43,6.0304911e+01,4.1548514e+01,4.1548514e+01
513.71,6.1558864e+01,4.1848723e+01,4.1848723e+01
528.99,6.2781724e+01,4.2133973e+01,4.2133973e+01
544.27,6.3974635e+01,4.2405356e+01,4.2405356e+01
559.55,6.5138683e+01,4.2663859e+01,4.2663859e+01
574.83,6.6274902e+01,4.2910378e+01,4.2910378e+01
590.11,6.7384280e+01,4.3145726e+01,4.3145726e+01
605.39,6.8467756e+01,4.3370647e+01,4.3370647e+01
620.67,6.9526226e+01,4.3585818e+01,4.3585818e+01
635.96,7.0560547e+01,4.3791861e+01,4.3791861e+01
651.24,7.1571536e+01,4.3989343e+01,4.3989343e+01
666.52,7.2559974e+01,4.4178787e+01,4.4178787e+01
681.80,7.3526606e+01,4.4360675e+01,4.4360675e+01
697.08,7.4472146e+01,4.4535450e+01,4.4535450e+01
712.36,7.5397278e+01,4.4703520e+01,4.4703520e+01
727.64,7.6302655e+01,4.4865265e+01,4.4865265e+01
742.92,7.7188902e+01,4.5021035e+01,4.5021035e+01
758.20,7.8056621e+01,4.5171154e+01,4.5171154e+01
773.48,7.8906385e+01,4.5315926e+01,4.5315926e+01
788.76,7.9738747e+01,4.5455630e+01,4.5455630e+01
804.04,8.0554236e+01,4.5590529e+01,4.5590529e+01
819.33,8.1353359e+01,4.5720865e+01,4.5720865e+01
834.61,8.2136605e+01,4.5846867e+01,4.5846867e+01
849.89,8.2904441e+01,4.5968748e+01,4.5968748e+01
865.17,8.3657319e+01,4.6086705e+01,4.6086705e+01
880.45,8.4395671e+01,4.6200926e+01,4.6200926e+01
895.73,8.5119913e+01,4.6311586e+01,4.6311586e+01
911.01,8.5830447e+01,4.6418847e+01,4.6418847e+01
926.29,8.6527657e+01,4.6522866e+01,4.6522866e+01
941.57,8.7211915e+01,4.6623786e+01,4.6623786e+01
956.85,8.7883579e+01,4.6721743e+01,4.6721743e+01
972.13,8.8542993e+01,4.6816867e+01,4.6816867e+01
987.42,8.9190488e+01,4.6909279e+01,4.6909279e+01
1002.70,8.9826387e+01,4.6999092e+01,4.6999092e+01
1017.98,9.0450996e+01,4.7086416e+01,4.7086416e+01
1033.26,9.1064615e+01,4.7171352e+01,4.7171352e+01
1048.54,9.1667530e+01,4.7253996e+01,4.7253996e+01
1063.82,9.2260020e+01,4.7334441e+01,4.7334441e+01
1079.10,9.2842353e+01,4.7412773e+01,4.7412773e+01
1094.38,9.3414786e+01,4.7489073e+01,4.7489073e+01
1109.66,9.3977572e+01,4.7563421e+01,4.7563421e+01
1124.94,9.4530951e+01,4.7635890e+01,4.7635890e+01
1140.22,9.5075157e+01,4.7706550e+01,4.7706550e+01
1155.51,9.5610417e+01,4.7775469e+01,4.7775469e+01
1170.79,9.6136950e+01,4.7842710e+01,4.7842710e+01
1186.07,9.6654967e+01,4.7908333e+01,4.7908333e+01
1201.35,9.7164673e+01,4.7972396e+01,4.7972396e+01
1216.63,9.7666266e+01,4.8034954e+01,4.8034954e+01
1231.91,9.8159940e+01,4.8096060e+01,4.8096060e+01
1247.19,9.8645879e+01,4.8155763e+01,4.8155763e+01
1262.47,9.9124264e+01,4.8214112e+01,4.8214112e+01
1277.75,9.9595270e+01,4.8271151e+01,4.8271151e+01
1293.03,1.0005907e+02,4.8326925e+01,4.8326925e+01
1308.31,1.0051582e+02,4.8381475e+01,4.8381475e+01
