prefix,wall_sec,exit
i_jan_ref,10.238731523,0
i_jan_ark_a_30,5.184258133,0
i_jan_split_15,7.256040900,0
i_jan_split_600,.951766222,0
i_jan_split_900,1.595201788,0
i_jan_split_1800,1.012428140,0
i_jan_arkf_600,1.014333019,0
i_jan_arkf_900,1.221074463,0
i_jan_arkf_1800,.951125637,0
i_jan_arka_600,1.074023632,0
i_jan_arka_900,.959744085,0
i_jan_arka_1800,.919057844,0
i_jun_ref,9.494760186,0
i_jun_ark_a_30,5.310246932,0
i_jun_split_15,7.515793141,0
i_jun_split_600,.956486464,0
i_jun_split_900,.882366967,0
i_jun_split_1800,.841867849,0
i_jun_arkf_600,1.009835221,0
i_jun_arkf_900,.922746250,0
i_jun_arkf_1800,.879645117,0
i_jun_arka_600,1.018722515,0
i_jun_arka_900,.974106759,0
i_jun_arka_1800,.910712399,0
