datetime,patch,sw_in_W_m2,cas_temp_K,gpp_umol_m2_s,le_W_m2,soil_temp_top_K,leaf_temp_K
2054-01-01 00:15:00,1, 0.000000E+00, 2.712613E+02, 0.000000E+00, 3.570803E-01, 2.877140E+02, 2.687157E+02
2054-01-01 00:45:00,1, 0.000000E+00, 2.714110E+02, 0.000000E+00, 6.565445E-01, 2.867351E+02, 2.718360E+02
2054-01-01 01:15:00,1, 0.000000E+00, 2.712813E+02, 0.000000E+00, 1.043896E+00, 2.860522E+02, 2.715572E+02
2054-01-01 01:45:00,1, 0.000000E+00, 2.710451E+02, 0.000000E+00, 1.086385E+00, 2.855155E+02, 2.712673E+02
2054-01-01 02:15:00,1, 0.000000E+00, 2.708378E+02, 0.000000E+00, 8.143530E-01, 2.850645E+02, 2.710468E+02
2054-01-01 02:45:00,1, 0.000000E+00, 2.706993E+02, 0.000000E+00, 4.891966E-01, 2.846729E+02, 2.709023E+02
2054-01-01 03:15:00,1, 0.000000E+00, 2.706513E+02, 0.000000E+00, 7.497429E-01, 2.843282E+02, 2.708483E+02
2054-01-01 03:45:00,1, 0.000000E+00, 2.707010E+02, 0.000000E+00, 1.349648E+00, 2.840234E+02, 2.708819E+02
2054-01-01 04:15:00,1, 0.000000E+00, 2.708058E+02, 0.000000E+00, 1.573484E+00, 2.837542E+02, 2.709562E+02
2054-01-01 04:45:00,1, 0.000000E+00, 2.709480E+02, 0.000000E+00, 1.548320E+00, 2.835159E+02, 2.710691E+02
2054-01-01 05:15:00,1, 0.000000E+00, 2.711209E+02, 0.000000E+00, 1.543656E+00, 2.833048E+02, 2.712142E+02
2054-01-01 05:45:00,1, 0.000000E+00, 2.713210E+02, 0.000000E+00, 1.553193E+00, 2.831177E+02, 2.713881E+02
2054-01-01 06:15:00,1, 0.000000E+00, 2.715313E+02, 0.000000E+00, 1.552833E+00, 2.829517E+02, 2.715713E+02
2054-01-01 06:45:00,1, 0.000000E+00, 2.717427E+02, 0.000000E+00, 1.543127E+00, 2.828039E+02, 2.717567E+02
2054-01-01 07:15:00,1, 0.000000E+00, 2.719430E+02, 0.000000E+00, 1.540552E+00, 2.826713E+02, 2.719312E+02
