datetime,patch,sw_in_W_m2,cas_temp_K,gpp_umol_m2_s,le_W_m2,soil_temp_top_K,leaf_temp_K,wood_temp_K
2024-06-15 00:07:30,1, 3.412761E+01, 2.858912E+02, 4.256452E+00,-9.631101E+00, 2.880246E+02, 2.859493E+02, 2.875060E+02
2024-06-15 00:22:30,1, 1.780533E+01, 2.841185E+02, 2.495372E+00,-7.995341E+00, 2.880393E+02, 2.842920E+02, 2.854527E+02
2024-06-15 00:37:30,1, 1.848237E+00, 2.825726E+02, 2.923280E-01,-6.987213E+00, 2.880484E+02, 2.826291E+02, 2.836697E+02
2024-06-15 00:52:30,1, 0.000000E+00, 2.814280E+02, 0.000000E+00,-6.248218E+00, 2.880544E+02, 2.813652E+02, 2.822012E+02
2024-06-15 01:07:30,1, 0.000000E+00, 2.806634E+02, 0.000000E+00,-5.820451E+00, 2.880589E+02, 2.804347E+02, 2.811186E+02
2024-06-15 01:22:30,1, 0.000000E+00, 2.802045E+02, 0.000000E+00,-5.624250E+00, 2.880611E+02, 2.798632E+02, 2.804104E+02
2024-06-15 01:37:30,1, 0.000000E+00, 2.799194E+02, 0.000000E+00,-5.497661E+00, 2.880609E+02, 2.795222E+02, 2.799856E+02
2024-06-15 01:52:30,1, 0.000000E+00, 2.797245E+02, 0.000000E+00,-5.409930E+00, 2.880589E+02, 2.792941E+02, 2.797169E+02
2024-06-15 02:07:30,1, 0.000000E+00, 2.795336E+02, 0.000000E+00,-5.384977E+00, 2.880559E+02, 2.791080E+02, 2.795241E+02
2024-06-15 02:22:30,1, 0.000000E+00, 2.792835E+02, 0.000000E+00,-5.407581E+00, 2.880521E+02, 2.788889E+02, 2.793244E+02
2024-06-15 02:37:30,1, 0.000000E+00, 2.789856E+02, 0.000000E+00,-5.428262E+00, 2.880479E+02, 2.786134E+02, 2.790660E+02
2024-06-15 02:52:30,1, 0.000000E+00, 2.786552E+02, 0.000000E+00,-5.449347E+00, 2.880435E+02, 2.782993E+02, 2.787627E+02
2024-06-15 03:07:30,1, 0.000000E+00, 2.783525E+02, 0.000000E+00,-5.486893E+00, 2.880388E+02, 2.779859E+02, 2.784368E+02
2024-06-15 03:22:30,1, 0.000000E+00, 2.781241E+02, 0.000000E+00,-5.544265E+00, 2.880341E+02, 2.777292E+02, 2.781473E+02
2024-06-15 03:37:30,1, 0.000000E+00, 2.779523E+02, 0.000000E+00,-5.608813E+00, 2.880293E+02, 2.775392E+02, 2.779301E+02
2024-06-15 03:52:30,1, 0.000000E+00, 2.778192E+02, 0.000000E+00,-5.676995E+00, 2.880244E+02, 2.773945E+02, 2.777662E+02
2024-06-15 04:07:30,1, 0.000000E+00, 2.776970E+02, 0.000000E+00,-5.740217E+00, 2.880196E+02, 2.772730E+02, 2.776364E+02
2024-06-15 04:22:30,1, 0.000000E+00, 2.775652E+02, 0.000000E+00,-5.795618E+00, 2.880147E+02, 2.771504E+02, 2.775139E+02
2024-06-15 04:37:30,1, 0.000000E+00, 2.774246E+02, 0.000000E+00,-5.847349E+00, 2.880099E+02, 2.770177E+02, 2.773817E+02
2024-06-15 04:52:30,1, 0.000000E+00, 2.772780E+02, 0.000000E+00,-5.895943E+00, 2.880050E+02, 2.768778E+02, 2.772412E+02
2024-06-15 05:07:30,1, 0.000000E+00, 2.771376E+02, 0.000000E+00,-5.950434E+00, 2.880002E+02, 2.767379E+02, 2.770963E+02
2024-06-15 05:22:30,1, 0.000000E+00, 2.770132E+02, 0.000000E+00,-6.011659E+00, 2.879955E+02, 2.766096E+02, 2.769594E+02
2024-06-15 05:37:30,1, 0.000000E+00, 2.769013E+02, 0.000000E+00,-6.071654E+00, 2.879907E+02, 2.764958E+02, 2.768380E+02
2024-06-15 05:52:30,1, 0.000000E+00, 2.767978E+02, 0.000000E+00,-6.129941E+00, 2.879860E+02, 2.763921E+02, 2.767284E+02
2024-06-15 06:07:30,1, 0.000000E+00, 2.767188E+02, 0.000000E+00,-5.984444E+00, 2.879813E+02, 2.763049E+02, 2.766296E+02
2024-06-15 06:22:30,1, 0.000000E+00, 2.766775E+02, 0.000000E+00,-5.649787E+00, 2.879767E+02, 2.762498E+02, 2.765577E+02
2024-06-15 06:37:30,1, 0.000000E+00, 2.766644E+02, 0.000000E+00,-5.340189E+00, 2.879721E+02, 2.762278E+02, 2.765223E+02
2024-06-15 06:52:30,1, 0.000000E+00, 2.766703E+02, 0.000000E+00,-5.051129E+00, 2.879675E+02, 2.762284E+02, 2.765134E+02
2024-06-15 07:07:30,1, 0.000000E+00, 2.766737E+02, 0.000000E+00,-5.045405E+00, 2.879630E+02, 2.762360E+02, 2.765200E+02
2024-06-15 07:22:30,1, 0.000000E+00, 2.766580E+02, 0.000000E+00,-5.303236E+00, 2.879585E+02, 2.762310E+02, 2.765210E+02
2024-06-15 07:37:30,1, 0.000000E+00, 2.766273E+02, 0.000000E+00,-5.539336E+00, 2.879540E+02, 2.762084E+02, 2.765033E+02
2024-06-15 07:52:30,1, 0.000000E+00, 2.765864E+02, 0.000000E+00,-5.756181E+00, 2.879496E+02, 2.761738E+02, 2.764714E+02
2024-06-15 08:07:30,1, 0.000000E+00, 2.765862E+02, 0.000000E+00,-5.961945E+00, 2.879452E+02, 2.761554E+02, 2.764373E+02
2024-06-15 08:22:30,1, 0.000000E+00, 2.766676E+02, 0.000000E+00,-6.162915E+00, 2.879408E+02, 2.762013E+02, 2.764509E+02
2024-06-15 08:37:30,1, 0.000000E+00, 2.768114E+02, 0.000000E+00,-6.358238E+00, 2.879365E+02, 2.763199E+02, 2.765437E+02
2024-06-15 08:52:30,1, 0.000000E+00, 2.769979E+02, 0.000000E+00,-6.545902E+00, 2.879322E+02, 2.764892E+02, 2.766954E+02
2024-06-15 09:07:30,1, 0.000000E+00, 2.771720E+02, 0.000000E+00,-6.706137E+00, 2.879280E+02, 2.766706E+02, 2.768808E+02
2024-06-15 09:22:30,1, 0.000000E+00, 2.772910E+02, 0.000000E+00,-6.833590E+00, 2.879237E+02, 2.768138E+02, 2.770458E+02
2024-06-15 09:37:30,1, 0.000000E+00, 2.773670E+02, 0.000000E+00,-6.942898E+00, 2.879195E+02, 2.769065E+02, 2.771570E+02
2024-06-15 09:52:30,1, 0.000000E+00, 2.774138E+02, 0.000000E+00,-7.037839E+00, 2.879153E+02, 2.769643E+02, 2.772277E+02
2024-06-15 10:07:30,1, 4.805030E+01, 2.788878E+02, 3.606245E+00,-8.467858E+00, 2.879110E+02, 2.778662E+02, 2.775401E+02
2024-06-15 10:22:30,1, 6.974521E+01, 2.804551E+02, 4.099511E+00,-9.812325E+00, 2.879069E+02, 2.794195E+02, 2.791134E+02
2024-06-15 10:37:30,1, 9.171630E+01, 2.819407E+02, 4.732233E+00,-1.068200E+01, 2.879028E+02, 2.809365E+02, 2.807512E+02
2024-06-15 10:52:30,1, 1.138695E+02, 2.833205E+02, 5.410200E+00,-1.095286E+01, 2.878988E+02, 2.823651E+02, 2.823142E+02
2024-06-15 11:07:30,1, 1.949234E+02, 2.855356E+02, 6.156734E+00,-1.008197E+01, 2.878950E+02, 2.841739E+02, 2.840866E+02
2024-06-15 11:22:30,1, 2.267625E+02, 2.873941E+02, 7.120591E+00,-8.721172E+00, 2.878911E+02, 2.862271E+02, 2.864169E+02
2024-06-15 11:37:30,1, 2.584538E+02, 2.889494E+02, 8.209702E+00,-6.937069E+00, 2.878873E+02, 2.880080E+02, 2.883961E+02
2024-06-15 11:52:30,1, 2.898616E+02, 2.903480E+02, 9.203587E+00,-3.922528E+00, 2.878834E+02, 2.895419E+02, 2.901331E+02
2024-06-15 12:07:30,1, 4.041661E+02, 2.903579E+02, 1.011159E+01, 1.642066E+01, 2.878795E+02, 2.913928E+02, 2.918230E+02
2024-06-15 12:22:30,1, 4.425092E+02, 2.909183E+02, 1.048489E+01, 3.548779E+01, 2.878755E+02, 2.914681E+02, 2.919386E+02
2024-06-15 12:37:30,1, 4.799945E+02, 2.913023E+02, 1.021625E+01, 5.022190E+01, 2.878546E+02, 2.922436E+02, 2.927144E+02
2024-06-15 12:52:30,1, 5.164613E+02, 2.917687E+02, 1.025958E+01, 5.498754E+01, 2.880624E+02, 2.927046E+02, 2.931712E+02
2024-06-15 13:07:30,1, 5.862375E+02, 2.922862E+02, 1.026739E+01, 6.657911E+01, 2.885514E+02, 2.935878E+02, 2.939582E+02
2024-06-15 13:22:30,1, 6.223269E+02, 2.925765E+02, 1.033259E+01, 7.758753E+01, 2.893079E+02, 2.941800E+02, 2.945596E+02
2024-06-15 13:37:30,1, 6.568533E+02, 2.929779E+02, 1.030947E+01, 8.077267E+01, 2.902630E+02, 2.946081E+02, 2.949667E+02
2024-06-15 13:52:30,1, 6.896687E+02, 2.933215E+02, 1.025769E+01, 8.601449E+01, 2.913346E+02, 2.951440E+02, 2.954962E+02
2024-06-15 14:07:30,1, 7.096188E+02, 2.935880E+02, 1.020748E+01, 8.468604E+01, 2.924655E+02, 2.954812E+02, 2.958432E+02
2024-06-15 14:22:30,1, 7.381558E+02, 2.938439E+02, 1.013664E+01, 8.035928E+01, 2.936506E+02, 2.958278E+02, 2.961436E+02
2024-06-15 14:37:30,1, 7.646169E+02, 2.940060E+02, 1.007859E+01, 7.532880E+01, 2.949686E+02, 2.961581E+02, 2.964308E+02
2024-06-15 14:52:30,1, 7.888887E+02, 2.942671E+02, 1.003011E+01, 7.264623E+01, 2.964415E+02, 2.963972E+02, 2.966240E+02
