datetime,patch,sw_in_W_m2,cas_temp_K,gpp_umol_m2_s,le_W_m2,soil_temp_top_K,leaf_temp_K,wood_temp_K
2024-01-24 00:07:30,1, 0.000000E+00, 2.747284E+02, 0.000000E+00, 2.514107E+02, 2.880254E+02, 2.848722E+02, 2.870412E+02
2024-01-24 00:22:30,1, 0.000000E+00, 2.726836E+02, 0.000000E+00, 3.321669E+01, 2.880416E+02, 2.729302E+02, 2.741717E+02
2024-01-24 00:37:30,1, 0.000000E+00, 2.723783E+02, 0.000000E+00, 1.145782E+00, 2.880503E+02, 2.723768E+02, 2.725888E+02
2024-01-24 00:52:30,1, 0.000000E+00, 2.722705E+02, 0.000000E+00, 8.457401E-01, 2.880548E+02, 2.721981E+02, 2.723220E+02
2024-01-24 01:07:30,1, 0.000000E+00, 2.721765E+02, 0.000000E+00, 7.424378E-01, 2.880570E+02, 2.721198E+02, 2.722232E+02
2024-01-24 01:22:30,1, 0.000000E+00, 2.720352E+02, 0.000000E+00, 7.277497E-01, 2.880580E+02, 2.719907E+02, 2.721184E+02
2024-01-24 01:37:30,1, 0.000000E+00, 2.718544E+02, 0.000000E+00, 7.129186E-01, 2.880585E+02, 2.718225E+02, 2.719688E+02
2024-01-24 01:52:30,1, 0.000000E+00, 2.716409E+02, 0.000000E+00, 6.977339E-01, 2.880587E+02, 2.716189E+02, 2.717809E+02
2024-01-24 02:07:30,1, 0.000000E+00, 2.715160E+02, 0.000000E+00, 5.641413E-01, 2.880581E+02, 2.714705E+02, 2.715870E+02
2024-01-24 02:22:30,1, 0.000000E+00, 2.715696E+02, 0.000000E+00, 3.603032E-01, 2.880566E+02, 2.714752E+02, 2.715014E+02
2024-01-24 02:37:30,1, 0.000000E+00, 2.717529E+02, 0.000000E+00, 2.067719E-01, 2.880545E+02, 2.716290E+02, 2.715855E+02
2024-01-24 02:52:30,1, 0.000000E+00, 2.720278E+02, 0.000000E+00, 8.428701E-02, 2.880520E+02, 2.718813E+02, 2.717903E+02
2024-01-24 03:07:30,1, 0.000000E+00, 2.723136E+02, 0.000000E+00, 4.365248E-02, 2.880493E+02, 2.721678E+02, 2.720694E+02
2024-01-24 03:22:30,1, 0.000000E+00, 2.725504E+02, 0.000000E+00, 7.585859E-02, 2.880464E+02, 2.724213E+02, 2.723461E+02
2024-01-24 03:37:30,1, 0.000000E+00, 2.727492E+02, 0.000000E+00, 1.117198E-01, 2.880434E+02, 2.726303E+02, 2.725749E+02
2024-01-24 03:52:30,1, 0.000000E+00, 2.729219E+02, 0.000000E+00, 1.493381E-01, 2.880403E+02, 2.728089E+02, 2.727679E+02
2024-01-24 04:07:30,1, 0.000000E+00, 2.730750E+02, 0.000000E+00, 2.452839E-01, 2.880371E+02, 2.729651E+02, 2.729360E+02
2024-01-24 04:22:30,1, 0.000000E+00, 2.732129E+02, 0.000000E+00, 3.920582E-01, 2.880339E+02, 2.731040E+02, 2.730852E+02
2024-01-24 04:37:30,1, 0.000000E+00, 2.733402E+02, 0.000000E+00, 5.248743E-01, 2.880307E+02, 2.732306E+02, 2.732199E+02
2024-01-24 04:52:30,1, 0.000000E+00, 2.734605E+02, 0.000000E+00, 6.450016E-01, 2.880275E+02, 2.733489E+02, 2.733448E+02
2024-01-24 05:07:30,1, 0.000000E+00, 2.735753E+02, 0.000000E+00, 7.840608E-01, 2.880244E+02, 2.734618E+02, 2.734632E+02
2024-01-24 05:22:30,1, 0.000000E+00, 2.736850E+02, 0.000000E+00, 9.391928E-01, 2.880212E+02, 2.735704E+02, 2.735764E+02
2024-01-24 05:37:30,1, 0.000000E+00, 2.737909E+02, 0.000000E+00, 1.082049E+00, 2.880180E+02, 2.736747E+02, 2.736848E+02
2024-01-24 05:52:30,1, 0.000000E+00, 2.738940E+02, 0.000000E+00, 1.213911E+00, 2.880148E+02, 2.737759E+02, 2.737895E+02
2024-01-24 06:07:30,1, 0.000000E+00, 2.739884E+02, 0.000000E+00, 1.248649E+00, 2.880116E+02, 2.738725E+02, 2.738910E+02
2024-01-24 06:22:30,1, 0.000000E+00, 2.740687E+02, 0.000000E+00, 1.194131E+00, 2.880084E+02, 2.739587E+02, 2.739832E+02
2024-01-24 06:37:30,1, 0.000000E+00, 2.741384E+02, 0.000000E+00, 1.145891E+00, 2.880052E+02, 2.740327E+02, 2.740619E+02
2024-01-24 06:52:30,1, 0.000000E+00, 2.742008E+02, 0.000000E+00, 1.103942E+00, 2.880019E+02, 2.740983E+02, 2.741307E+02
2024-01-24 07:07:30,1, 0.000000E+00, 2.742569E+02, 0.000000E+00, 1.161637E+00, 2.879986E+02, 2.741565E+02, 2.741920E+02
2024-01-24 07:22:30,1, 0.000000E+00, 2.743073E+02, 0.000000E+00, 1.307620E+00, 2.879954E+02, 2.742080E+02, 2.742468E+02
2024-01-24 07:37:30,1, 0.000000E+00, 2.743538E+02, 0.000000E+00, 1.437046E+00, 2.879922E+02, 2.742548E+02, 2.742963E+02
2024-01-24 07:52:30,1, 0.000000E+00, 2.743977E+02, 0.000000E+00, 1.552336E+00, 2.879891E+02, 2.742987E+02, 2.743422E+02
2024-01-24 08:07:30,1, 0.000000E+00, 2.744356E+02, 0.000000E+00, 1.565347E+00, 2.879860E+02, 2.743385E+02, 2.743851E+02
