datetime,patch,sw_in_W_m2,cas_temp_K,gpp_umol_m2_s,le_W_m2,soil_temp_top_K,leaf_temp_K,wood_temp_K
2024-01-10 00:07:30,1, 0.000000E+00, 2.790000E+02, 0.000000E+00, 1.714176E+02, 2.884086E+02, 2.874960E+02, 2.878701E+02
2024-01-10 00:22:30,1, 0.000000E+00, 2.787733E+02, 0.000000E+00, 7.665553E+00, 2.889748E+02, 2.786345E+02, 2.788961E+02
2024-01-10 00:37:30,1, 0.000000E+00, 2.796611E+02, 0.000000E+00,-2.473057E+00, 2.898279E+02, 2.794931E+02, 2.789851E+02
2024-01-10 00:52:30,1, 0.000000E+00, 2.801883E+02, 0.000000E+00,-1.986094E+00, 2.909198E+02, 2.803094E+02, 2.798538E+02
2024-01-10 01:07:30,1, 0.000000E+00, 2.806088E+02, 0.000000E+00, 3.812691E+01, 2.916101E+02, 2.808288E+02, 2.803791E+02
2024-01-10 01:22:30,1, 0.000000E+00, 2.808590E+02, 0.000000E+00, 5.402232E+01, 2.920988E+02, 2.812391E+02, 2.807958E+02
2024-01-10 01:37:30,1, 0.000000E+00, 2.810906E+02, 0.000000E+00, 6.040675E+01, 2.924924E+02, 2.814852E+02, 2.810446E+02
2024-01-10 01:52:30,1, 0.000000E+00, 2.813239E+02, 0.000000E+00, 6.454838E+01, 2.928557E+02, 2.817301E+02, 2.812798E+02
2024-01-10 02:07:30,1, 0.000000E+00, 2.814913E+02, 0.000000E+00, 6.933949E+01, 2.933376E+02, 2.819704E+02, 2.815150E+02
2024-01-10 02:22:30,1, 0.000000E+00, 2.816003E+02, 0.000000E+00, 7.430229E+01, 2.939675E+02, 2.821481E+02, 2.816856E+02
2024-01-10 02:37:30,1, 0.000000E+00, 2.817198E+02, 0.000000E+00, 7.895604E+01, 2.946008E+02, 2.822873E+02, 2.818034E+02
2024-01-10 02:52:30,1, 0.000000E+00, 2.818415E+02, 0.000000E+00, 8.407755E+01, 2.951919E+02, 2.824431E+02, 2.819334E+02
2024-01-10 03:07:30,1, 0.000000E+00, 2.818870E+02, 0.000000E+00, 8.949769E+01, 2.957281E+02, 2.825902E+02, 2.820626E+02
2024-01-10 03:22:30,1, 0.000000E+00, 2.818548E+02, 0.000000E+00, 9.312922E+01, 2.962340E+02, 2.826526E+02, 2.821134E+02
2024-01-10 03:37:30,1, 0.000000E+00, 2.818231E+02, 0.000000E+00, 9.460142E+01, 2.967001E+02, 2.826476E+02, 2.820895E+02
2024-01-10 03:52:30,1, 0.000000E+00, 2.817920E+02, 0.000000E+00, 9.550230E+01, 2.971428E+02, 2.826510E+02, 2.820683E+02
