datetime,patch,sw_in_W_m2,cas_temp_K,gpp_umol_m2_s,le_W_m2,soil_temp_top_K,leaf_temp_K
2054-07-05 00:15:00,1, 1.362703E+02, 2.879716E+02, 0.000000E+00,-1.890245E+01, 2.895059E+02, 0.000000E+00
2054-07-05 00:45:00,1, 0.000000E+00, 2.880289E+02, 0.000000E+00,-1.453706E+01, 2.893491E+02, 0.000000E+00
2054-07-05 01:15:00,1, 0.000000E+00, 2.881021E+02, 0.000000E+00,-1.163094E+01, 2.894105E+02, 0.000000E+00
2054-07-05 01:45:00,1, 0.000000E+00, 2.881675E+02, 0.000000E+00,-9.228360E+00, 2.897142E+02, 0.000000E+00
2054-07-05 02:15:00,1, 0.000000E+00, 2.882264E+02, 0.000000E+00,-7.154287E+00, 2.900620E+02, 0.000000E+00
2054-07-05 02:45:00,1, 0.000000E+00, 2.882665E+02, 0.000000E+00,-5.321823E+00, 2.905095E+02, 0.000000E+00
2054-07-05 03:15:00,1, 0.000000E+00, 2.882941E+02, 0.000000E+00,-3.699177E+00, 2.910049E+02, 0.000000E+00
2054-07-05 03:45:00,1, 0.000000E+00, 2.882936E+02, 0.000000E+00,-2.223446E+00, 2.917542E+02, 0.000000E+00
2054-07-05 04:15:00,1, 0.000000E+00, 2.882855E+02, 0.000000E+00,-9.986096E-01, 2.924670E+02, 0.000000E+00
2054-07-05 04:45:00,1, 0.000000E+00, 2.882752E+02, 0.000000E+00,-2.271177E-02, 2.931176E+02, 0.000000E+00
2054-07-05 05:15:00,1, 0.000000E+00, 2.882850E+02, 0.000000E+00, 7.670026E-01, 2.935280E+02, 0.000000E+00
2054-07-05 05:45:00,1, 0.000000E+00, 2.883218E+02, 0.000000E+00, 1.082284E+00, 2.936625E+02, 0.000000E+00
2054-07-05 06:15:00,1, 0.000000E+00, 2.884479E+02, 0.000000E+00, 2.262973E+00, 2.936683E+02, 0.000000E+00
2054-07-05 06:45:00,1, 0.000000E+00, 2.886595E+02, 0.000000E+00, 3.680873E+00, 2.934839E+02, 0.000000E+00
2054-07-05 07:15:00,1, 0.000000E+00, 2.888805E+02, 0.000000E+00, 4.229539E+00, 2.932648E+02, 0.000000E+00
2054-07-05 07:45:00,1, 0.000000E+00, 2.890829E+02, 0.000000E+00, 4.117983E+00, 2.928531E+02, 0.000000E+00
2054-07-05 08:15:00,1, 0.000000E+00, 2.892689E+02, 0.000000E+00, 4.052964E+00, 2.924889E+02, 0.000000E+00
2054-07-05 08:45:00,1, 0.000000E+00, 2.894482E+02, 0.000000E+00, 4.048735E+00, 2.921243E+02, 0.000000E+00
2054-07-05 09:15:00,1, 0.000000E+00, 2.896109E+02, 0.000000E+00, 3.851828E+00, 2.918057E+02, 0.000000E+00
2054-07-05 09:45:00,1, 3.043321E+02, 2.897698E+02, 0.000000E+00, 3.499001E+00, 2.943890E+02, 0.000000E+00
2054-07-05 10:15:00,1, 5.795083E+01, 2.899182E+02, 0.000000E+00, 2.699491E+00, 2.936650E+02, 0.000000E+00
2054-07-05 10:45:00,1, 1.092052E+02, 2.898861E+02, 0.000000E+00, 1.196537E+00, 2.937939E+02, 0.000000E+00
2054-07-05 11:15:00,1, 2.197800E+01, 2.895946E+02, 0.000000E+00, 5.129990E-01, 2.930832E+02, 0.000000E+00
2054-07-05 11:45:00,1, 2.904839E+01, 2.892568E+02, 0.000000E+00, 8.444782E-01, 2.927162E+02, 0.000000E+00
2054-07-05 12:15:00,1, 0.000000E+00, 2.889351E+02, 0.000000E+00, 1.257801E+00, 2.921665E+02, 0.000000E+00
2054-07-05 12:45:00,1, 0.000000E+00, 2.886307E+02, 0.000000E+00, 1.704076E+00, 2.917508E+02, 0.000000E+00
2054-07-05 13:15:00,1, 0.000000E+00, 2.883960E+02, 0.000000E+00, 1.623881E+00, 2.914178E+02, 0.000000E+00
2054-07-05 13:45:00,1, 0.000000E+00, 2.882221E+02, 0.000000E+00, 1.421406E+00, 2.911591E+02, 0.000000E+00
2054-07-05 14:15:00,1, 0.000000E+00, 2.880438E+02, 0.000000E+00, 1.364706E+00, 2.909368E+02, 0.000000E+00
2054-07-05 14:45:00,1, 0.000000E+00, 2.878643E+02, 0.000000E+00, 1.272435E+00, 2.907175E+02, 0.000000E+00
2054-07-05 15:15:00,1, 0.000000E+00, 2.876836E+02, 0.000000E+00, 1.245432E+00, 2.905096E+02, 0.000000E+00
2054-07-05 15:45:00,1, 0.000000E+00, 2.875022E+02, 0.000000E+00, 1.250434E+00, 2.903149E+02, 0.000000E+00
2054-07-05 16:15:00,1, 0.000000E+00, 2.872878E+02, 0.000000E+00, 1.443448E+00, 2.901178E+02, 0.000000E+00
2054-07-05 16:45:00,1, 0.000000E+00, 2.870441E+02, 0.000000E+00, 1.666005E+00, 2.899077E+02, 0.000000E+00
2054-07-05 17:15:00,1, 0.000000E+00, 2.867880E+02, 0.000000E+00, 1.987966E+00, 2.896839E+02, 0.000000E+00
2054-07-05 17:45:00,1, 0.000000E+00, 2.865197E+02, 0.000000E+00, 2.369654E+00, 2.894446E+02, 0.000000E+00
2054-07-05 18:15:00,1, 0.000000E+00, 2.861500E+02, 0.000000E+00, 2.876146E+00, 2.891456E+02, 0.000000E+00
2054-07-05 18:45:00,1, 0.000000E+00, 2.856744E+02, 0.000000E+00, 3.306666E+00, 2.887566E+02, 0.000000E+00
2054-07-05 19:15:00,1, 0.000000E+00, 2.853525E+02, 0.000000E+00, 2.807522E+00, 2.884343E+02, 0.000000E+00
2054-07-05 19:45:00,1, 0.000000E+00, 2.851979E+02, 0.000000E+00, 2.213079E+00, 2.882776E+02, 0.000000E+00
2054-07-05 20:15:00,1, 0.000000E+00, 2.850715E+02, 0.000000E+00, 2.055321E+00, 2.881916E+02, 0.000000E+00
2054-07-05 20:45:00,1, 0.000000E+00, 2.849665E+02, 0.000000E+00, 1.848217E+00, 2.881245E+02, 0.000000E+00
2054-07-05 21:15:00,1, 0.000000E+00, 2.849183E+02, 0.000000E+00, 1.270559E+00, 2.880832E+02, 0.000000E+00
2054-07-05 21:45:00,1, 0.000000E+00, 2.849184E+02, 0.000000E+00, 6.629276E-01, 2.880700E+02, 0.000000E+00
2054-07-05 22:15:00,1, 4.481800E+01, 2.849900E+02, 0.000000E+00,-1.879531E-01, 2.885046E+02, 0.000000E+00
2054-07-05 22:45:00,1, 3.555251E+01, 2.851401E+02, 0.000000E+00,-1.091392E+00, 2.886970E+02, 0.000000E+00
2054-07-05 23:15:00,1, 1.575184E+02, 2.853556E+02, 0.000000E+00,-1.644943E+00, 2.900145E+02, 0.000000E+00
2054-07-05 23:45:00,1, 1.010495E+02, 2.856486E+02, 0.000000E+00,-1.983201E+00, 2.903055E+02, 0.000000E+00
2054-07-05 00:15:00,2, 1.362703E+02, 2.879716E+02, 0.000000E+00,-1.890245E+01, 2.895059E+02, 0.000000E+00
2054-07-05 00:45:00,2, 0.000000E+00, 2.880289E+02, 0.000000E+00,-1.453706E+01, 2.893491E+02, 0.000000E+00
2054-07-05 01:15:00,2, 0.000000E+00, 2.881021E+02, 0.000000E+00,-1.163094E+01, 2.894105E+02, 0.000000E+00
2054-07-05 01:45:00,2, 0.000000E+00, 2.881675E+02, 0.000000E+00,-9.228360E+00, 2.897142E+02, 0.000000E+00
2054-07-05 02:15:00,2, 0.000000E+00, 2.882264E+02, 0.000000E+00,-7.154287E+00, 2.900620E+02, 0.000000E+00
2054-07-05 02:45:00,2, 0.000000E+00, 2.882665E+02, 0.000000E+00,-5.321823E+00, 2.905095E+02, 0.000000E+00
2054-07-05 03:15:00,2, 0.000000E+00, 2.882941E+02, 0.000000E+00,-3.699177E+00, 2.910049E+02, 0.000000E+00
2054-07-05 03:45:00,2, 0.000000E+00, 2.882936E+02, 0.000000E+00,-2.223446E+00, 2.917542E+02, 0.000000E+00
2054-07-05 04:15:00,2, 0.000000E+00, 2.882855E+02, 0.000000E+00,-9.986096E-01, 2.924670E+02, 0.000000E+00
2054-07-05 04:45:00,2, 0.000000E+00, 2.882752E+02, 0.000000E+00,-2.271177E-02, 2.931176E+02, 0.000000E+00
2054-07-05 05:15:00,2, 0.000000E+00, 2.882850E+02, 0.000000E+00, 7.670026E-01, 2.935280E+02, 0.000000E+00
2054-07-05 05:45:00,2, 0.000000E+00, 2.883218E+02, 0.000000E+00, 1.082284E+00, 2.936625E+02, 0.000000E+00
2054-07-05 06:15:00,2, 0.000000E+00, 2.884479E+02, 0.000000E+00, 2.262973E+00, 2.936683E+02, 0.000000E+00
2054-07-05 06:45:00,2, 0.000000E+00, 2.886595E+02, 0.000000E+00, 3.680873E+00, 2.934839E+02, 0.000000E+00
2054-07-05 07:15:00,2, 0.000000E+00, 2.888805E+02, 0.000000E+00, 4.229539E+00, 2.932648E+02, 0.000000E+00
