datetime,patch,sw_in_W_m2,cas_temp_K,gpp_umol_m2_s,le_W_m2,soil_temp_top_K,leaf_temp_K,wood_temp_K
2024-07-05 00:15:00,1, 1.765397E+01, 2.905681E+02, 2.094069E+00,-3.285353E+01, 2.884966E+02, 2.908259E+02, 2.907366E+02
2024-07-05 00:45:00,1, 0.000000E+00, 2.913054E+02, 0.000000E+00,-2.929682E+01, 2.888093E+02, 2.911015E+02, 2.912623E+02
2024-07-05 01:15:00,1, 0.000000E+00, 2.915802E+02, 0.000000E+00,-2.498102E+01, 2.890422E+02, 2.912696E+02, 2.914990E+02
2024-07-05 01:45:00,1, 0.000000E+00, 2.917382E+02, 0.000000E+00,-2.095510E+01, 2.892284E+02, 2.914237E+02, 2.916506E+02
2024-07-05 02:15:00,1, 0.000000E+00, 2.918421E+02, 0.000000E+00,-1.748864E+01, 2.893848E+02, 2.915310E+02, 2.917512E+02
2024-07-05 02:45:00,1, 0.000000E+00, 2.919178E+02, 0.000000E+00,-1.459748E+01, 2.895204E+02, 2.916129E+02, 2.918252E+02
2024-07-05 03:15:00,1, 0.000000E+00, 2.919743E+02, 0.000000E+00,-1.224816E+01, 2.896408E+02, 2.916769E+02, 2.918811E+02
2024-07-05 03:45:00,1, 0.000000E+00, 2.921970E+02, 0.000000E+00,-1.090109E+01, 2.897493E+02, 2.919018E+02, 2.921038E+02
2024-07-05 04:15:00,1, 0.000000E+00, 2.923927E+02, 0.000000E+00,-1.016361E+01, 2.898560E+02, 2.920612E+02, 2.922878E+02
2024-07-05 04:45:00,1, 0.000000E+00, 2.925110E+02, 0.000000E+00,-9.699193E+00, 2.899577E+02, 2.921453E+02, 2.923951E+02
2024-07-05 05:15:00,1, 0.000000E+00, 2.925890E+02, 0.000000E+00,-9.403624E+00, 2.900525E+02, 2.922059E+02, 2.924673E+02
2024-07-05 05:45:00,1, 0.000000E+00, 2.926394E+02, 0.000000E+00,-9.212491E+00, 2.901408E+02, 2.922493E+02, 2.925154E+02
2024-07-05 06:15:00,1, 0.000000E+00, 2.926994E+02, 0.000000E+00,-9.265486E+00, 2.902095E+02, 2.923183E+02, 2.925782E+02
2024-07-05 06:45:00,1, 0.000000E+00, 2.927903E+02, 0.000000E+00,-9.442517E+00, 2.903158E+02, 2.924253E+02, 2.926742E+02
2024-07-05 07:15:00,1, 0.000000E+00, 2.928026E+02, 0.000000E+00,-9.302627E+00, 2.902603E+02, 2.923806E+02, 2.926685E+02
2024-07-05 07:45:00,1, 0.000000E+00, 2.926503E+02, 0.000000E+00,-9.296487E+00, 2.908653E+02, 2.921015E+02, 2.924761E+02
2024-07-05 08:15:00,1, 0.000000E+00, 2.925137E+02, 0.000000E+00,-9.191026E+00, 2.915952E+02, 2.920084E+02, 2.923534E+02
2024-07-05 08:45:00,1, 0.000000E+00, 2.924511E+02, 0.000000E+00,-8.669155E+00, 2.916556E+02, 2.920555E+02, 2.923256E+02
2024-07-05 09:15:00,1, 0.000000E+00, 2.923952E+02, 0.000000E+00,-8.213475E+00, 2.915765E+02, 2.920322E+02, 2.922799E+02
2024-07-05 09:45:00,1, 0.000000E+00, 2.923586E+02, 0.000000E+00,-7.761243E+00, 2.914835E+02, 2.920264E+02, 2.922530E+02
2024-07-05 10:15:00,1, 3.227350E+01, 2.928026E+02, 3.867480E+00,-6.406429E+00, 2.914320E+02, 2.927657E+02, 2.928617E+02
2024-07-05 10:45:00,1, 6.133458E+01, 2.935841E+02, 6.579026E+00,-5.693191E+00, 2.919254E+02, 2.936059E+02, 2.937649E+02
2024-07-05 11:15:00,1, 1.049643E+02, 2.949012E+02, 9.295917E+00,-4.432862E+00, 2.926654E+02, 2.950422E+02, 2.952871E+02
2024-07-05 11:45:00,1, 1.389550E+02, 2.963382E+02, 1.073062E+01,-3.343354E+00, 2.935780E+02, 2.965268E+02, 2.968552E+02
2024-07-05 12:15:00,1, 1.566392E+02, 2.972135E+02, 1.139741E+01, 5.987887E+00, 2.944091E+02, 2.974404E+02, 2.978003E+02
2024-07-05 12:45:00,1, 1.858067E+02, 2.965243E+02, 1.195630E+01, 2.674653E+01, 2.948053E+02, 2.970500E+02, 2.972722E+02
2024-07-05 13:15:00,1, 1.834358E+02, 2.984152E+02, 1.137868E+01, 1.831650E+01, 2.949693E+02, 2.987868E+02, 2.991982E+02
2024-07-05 13:45:00,1, 2.053104E+02, 2.968835E+02, 1.149077E+01, 3.176763E+01, 2.953372E+02, 2.973951E+02, 2.976982E+02
2024-07-05 14:15:00,1, 3.680365E+02, 3.019704E+02, 1.264451E+01, 3.242095E+01, 2.961357E+02, 3.028812E+02, 3.037337E+02
2024-07-05 14:45:00,1, 3.961379E+02, 2.980429E+02, 9.538352E+00, 4.543791E+01, 2.971586E+02, 2.994877E+02, 2.996274E+02
2024-07-05 15:15:00,1, 3.814378E+02, 3.016518E+02, 1.172955E+01, 6.390431E+01, 2.976546E+02, 3.028756E+02, 3.034145E+02
2024-07-05 15:45:00,1, 3.982609E+02, 2.984601E+02, 9.732837E+00, 5.138973E+01, 2.984708E+02, 3.001212E+02, 3.001297E+02
2024-07-05 16:15:00,1, 4.807068E+02, 3.007243E+02, 1.171329E+01, 9.250318E+01, 2.992966E+02, 3.029107E+02, 3.029982E+02
2024-07-05 16:45:00,1, 4.888581E+02, 2.991301E+02, 9.511356E+00, 6.296990E+01, 3.006630E+02, 3.016444E+02, 3.012878E+02
2024-07-05 17:15:00,1, 5.687982E+02, 3.007570E+02, 1.099074E+01, 9.827843E+01, 3.022982E+02, 3.036554E+02, 3.034113E+02
2024-07-05 17:45:00,1, 5.642048E+02, 3.003280E+02, 9.081101E+00, 8.002969E+01, 3.042201E+02, 3.034043E+02, 3.028981E+02
2024-07-05 18:15:00,1, 5.611640E+02, 3.010976E+02, 9.709367E+00, 9.507316E+01, 3.052903E+02, 3.042051E+02, 3.037519E+02
2024-07-05 18:45:00,1, 5.425645E+02, 3.008048E+02, 8.976827E+00, 8.394414E+01, 3.052782E+02, 3.039865E+02, 3.033761E+02
2024-07-05 19:15:00,1, 6.490780E+02, 3.018719E+02, 9.459829E+00, 1.018760E+02, 3.058739E+02, 3.053600E+02, 3.048549E+02
2024-07-05 19:45:00,1, 6.098544E+02, 3.014327E+02, 8.129435E+00, 8.221725E+01, 3.068958E+02, 3.047584E+02, 3.041687E+02
2024-07-05 20:15:00,1, 4.666407E+02, 3.016950E+02, 8.992003E+00, 8.816742E+01, 3.069895E+02, 3.041014E+02, 3.038457E+02
2024-07-05 20:45:00,1, 4.232227E+02, 3.013700E+02, 9.474340E+00, 8.157189E+01, 3.064495E+02, 3.035002E+02, 3.033815E+02
2024-07-05 21:15:00,1, 3.839009E+02, 3.016105E+02, 9.689672E+00, 8.442354E+01, 3.058810E+02, 3.033928E+02, 3.034433E+02
2024-07-05 21:45:00,1, 3.313344E+02, 3.011109E+02, 9.594650E+00, 7.403500E+01, 3.053091E+02, 3.025297E+02, 3.026870E+02
2024-07-05 22:15:00,1, 2.362634E+02, 3.007421E+02, 9.750599E+00, 6.223297E+01, 3.045665E+02, 3.015685E+02, 3.018650E+02
2024-07-05 22:45:00,1, 1.873422E+02, 2.999995E+02, 9.888696E+00, 4.815334E+01, 3.039187E+02, 3.005976E+02, 3.008869E+02
2024-07-05 23:15:00,1, 7.946260E+01, 2.992237E+02, 6.774424E+00, 2.340595E+01, 3.031236E+02, 2.993112E+02, 2.995641E+02
2024-07-05 23:45:00,1, 5.089182E+01, 2.991084E+02, 4.992860E+00, 9.440822E+00, 3.024189E+02, 2.991966E+02, 2.993558E+02
2024-07-05 00:15:00,2, 1.765397E+01, 2.905678E+02, 2.095758E+00,-3.285011E+01, 2.884965E+02, 2.908193E+02, 2.907329E+02
2024-07-05 00:45:00,2, 0.000000E+00, 2.913051E+02, 0.000000E+00,-2.929375E+01, 2.888092E+02, 2.910949E+02, 2.912601E+02
2024-07-05 01:15:00,2, 0.000000E+00, 2.915797E+02, 0.000000E+00,-2.497849E+01, 2.890421E+02, 2.912642E+02, 2.914970E+02
2024-07-05 01:45:00,2, 0.000000E+00, 2.917378E+02, 0.000000E+00,-2.095313E+01, 2.892283E+02, 2.914185E+02, 2.916487E+02
