datetime,patch,sw_in_W_m2,cas_temp_K,gpp_umol_m2_s,le_W_m2,soil_temp_top_K,leaf_temp_K,wood_temp_K
2024-07-05 00:15:00,1, 1.765397E+01, 2.897272E+02, 2.094069E+00,-3.356913E+01, 2.884047E+02, 2.897195E+02, 2.898881E+02
2024-07-05 00:45:00,1, 0.000000E+00, 2.905356E+02, 0.000000E+00,-2.984082E+01, 2.886712E+02, 2.903218E+02, 2.905346E+02
2024-07-05 01:15:00,1, 0.000000E+00, 2.910002E+02, 0.000000E+00,-2.597211E+01, 2.888838E+02, 2.907277E+02, 2.909686E+02
2024-07-05 01:45:00,1, 0.000000E+00, 2.913060E+02, 0.000000E+00,-2.237413E+01, 2.890653E+02, 2.910160E+02, 2.912598E+02
2024-07-05 02:15:00,1, 0.000000E+00, 2.915137E+02, 0.000000E+00,-1.917812E+01, 2.892241E+02, 2.912169E+02, 2.914576E+02
2024-07-05 02:45:00,1, 0.000000E+00, 2.916599E+02, 0.000000E+00,-1.641352E+01, 2.893646E+02, 2.913616E+02, 2.915972E+02
2024-07-05 03:15:00,1, 0.000000E+00, 2.917652E+02, 0.000000E+00,-1.408594E+01, 2.894904E+02, 2.914695E+02, 2.916984E+02
2024-07-05 03:45:00,1, 0.000000E+00, 2.918428E+02, 0.000000E+00,-1.216594E+01, 2.896042E+02, 2.915523E+02, 2.917735E+02
2024-07-05 04:15:00,1, 0.000000E+00, 2.918921E+02, 0.000000E+00,-1.049316E+01, 2.897069E+02, 2.916056E+02, 2.918200E+02
2024-07-05 04:45:00,1, 0.000000E+00, 2.919130E+02, 0.000000E+00,-9.038446E+00, 2.897989E+02, 2.916299E+02, 2.918381E+02
2024-07-05 05:15:00,1, 0.000000E+00, 2.919201E+02, 0.000000E+00,-7.784821E+00, 2.898820E+02, 2.916441E+02, 2.918447E+02
2024-07-05 05:45:00,1, 0.000000E+00, 2.919225E+02, 0.000000E+00,-6.708339E+00, 2.899583E+02, 2.916560E+02, 2.918480E+02
