datetime,patch,sw_in_W_m2,cas_temp_K,gpp_umol_m2_s,le_W_m2,soil_temp_top_K,leaf_temp_K,wood_temp_K
2024-07-05 00:15:00,1, 1.765397E+01, 2.904036E+02, 2.094069E+00,-3.343564E+01, 2.883972E+02, 2.882600E+02, 2.881613E+02
2024-07-05 00:45:00,1, 0.000000E+00, 2.920730E+02, 0.000000E+00,-3.003943E+01, 2.886014E+02, 2.905593E+02, 2.904734E+02
2024-07-05 01:15:00,1, 0.000000E+00, 2.924378E+02, 0.000000E+00,-2.661781E+01, 2.888405E+02, 2.918562E+02, 2.920304E+02
2024-07-05 01:45:00,1, 0.000000E+00, 2.922238E+02, 0.000000E+00,-2.259795E+01, 2.890804E+02, 2.920229E+02, 2.923299E+02
2024-07-05 02:15:00,1, 0.000000E+00, 2.920291E+02, 0.000000E+00,-1.871668E+01, 2.892769E+02, 2.918080E+02, 2.921091E+02
2024-07-05 02:45:00,1, 0.000000E+00, 2.920039E+02, 0.000000E+00,-1.556890E+01, 2.894278E+02, 2.916928E+02, 2.919328E+02
2024-07-05 03:15:00,1, 0.000000E+00, 2.920666E+02, 0.000000E+00,-1.314547E+01, 2.895514E+02, 2.917209E+02, 2.919199E+02
2024-07-05 03:45:00,1, 0.000000E+00, 2.921332E+02, 0.000000E+00,-1.125187E+01, 2.896616E+02, 2.918010E+02, 2.919850E+02
2024-07-05 04:15:00,1, 0.000000E+00, 2.921617E+02, 0.000000E+00,-9.631355E+00, 2.897629E+02, 2.918662E+02, 2.920487E+02
2024-07-05 04:45:00,1, 0.000000E+00, 2.921484E+02, 0.000000E+00,-8.227371E+00, 2.898552E+02, 2.918891E+02, 2.920732E+02
2024-07-05 05:15:00,1, 0.000000E+00, 2.921223E+02, 0.000000E+00,-7.024827E+00, 2.899391E+02, 2.918797E+02, 2.920590E+02
2024-07-05 05:45:00,1, 0.000000E+00, 2.921038E+02, 0.000000E+00,-6.005848E+00, 2.900154E+02, 2.918665E+02, 2.920351E+02
2024-07-05 06:15:00,1, 0.000000E+00, 2.921427E+02, 0.000000E+00,-5.479475E+00, 2.901017E+02, 2.918720E+02, 2.920227E+02
2024-07-05 06:45:00,1, 0.000000E+00, 2.922752E+02, 0.000000E+00,-5.382734E+00, 2.901983E+02, 2.919438E+02, 2.920713E+02
2024-07-05 07:15:00,1, 0.000000E+00, 2.922470E+02, 0.000000E+00,-4.694915E+00, 2.905259E+02, 2.920251E+02, 2.921876E+02
2024-07-05 07:45:00,1, 0.000000E+00, 2.919194E+02, 0.000000E+00,-3.464930E+00, 2.910781E+02, 2.918920E+02, 2.921254E+02
2024-07-05 08:15:00,1, 0.000000E+00, 2.916437E+02, 0.000000E+00,-2.336221E+00, 2.913438E+02, 2.915768E+02, 2.917984E+02
2024-07-05 08:45:00,1, 0.000000E+00, 2.915670E+02, 0.000000E+00,-1.293824E+00, 2.913477E+02, 2.914153E+02, 2.915566E+02
