datetime,patch,sw_in_W_m2,cas_temp_K,gpp_umol_m2_s,le_W_m2,soil_temp_top_K,leaf_temp_K,wood_temp_K
2024-07-05 00:15:00,1, 1.765397E+01, 2.904004E+02, 2.094069E+00,-3.343605E+01, 2.883972E+02, 2.882588E+02, 2.881613E+02
2024-07-05 00:45:00,1, 0.000000E+00, 2.920186E+02, 0.000000E+00,-3.003993E+01, 2.886014E+02, 2.905269E+02, 2.904703E+02
2024-07-05 01:15:00,1, 0.000000E+00, 2.923721E+02, 0.000000E+00,-2.657910E+01, 2.888396E+02, 2.917914E+02, 2.919777E+02
2024-07-05 01:45:00,1, 0.000000E+00, 2.921906E+02, 0.000000E+00,-2.256237E+01, 2.890771E+02, 2.919676E+02, 2.922679E+02
2024-07-05 02:15:00,1, 0.000000E+00, 2.920273E+02, 0.000000E+00,-1.872228E+01, 2.892719E+02, 2.917895E+02, 2.920794E+02
2024-07-05 02:45:00,1, 0.000000E+00, 2.920115E+02, 0.000000E+00,-1.559805E+01, 2.894231E+02, 2.916962E+02, 2.919322E+02
2024-07-05 03:15:00,1, 0.000000E+00, 2.920700E+02, 0.000000E+00,-1.317470E+01, 2.895478E+02, 2.917269E+02, 2.919272E+02
2024-07-05 03:45:00,1, 0.000000E+00, 2.921309E+02, 0.000000E+00,-1.127321E+01, 2.896590E+02, 2.918015E+02, 2.919879E+02
2024-07-05 04:15:00,1, 0.000000E+00, 2.921574E+02, 0.000000E+00,-9.646354E+00, 2.897606E+02, 2.918624E+02, 2.920462E+02
2024-07-05 04:45:00,1, 0.000000E+00, 2.921451E+02, 0.000000E+00,-8.239429E+00, 2.898531E+02, 2.918848E+02, 2.920690E+02
2024-07-05 05:15:00,1, 0.000000E+00, 2.921210E+02, 0.000000E+00,-7.035717E+00, 2.899371E+02, 2.918772E+02, 2.920559E+02
2024-07-05 05:45:00,1, 0.000000E+00, 2.921035E+02, 0.000000E+00,-6.015701E+00, 2.900135E+02, 2.918656E+02, 2.920339E+02
2024-07-05 06:15:00,1, 0.000000E+00, 2.921422E+02, 0.000000E+00,-5.487818E+00, 2.900999E+02, 2.918716E+02, 2.920224E+02
2024-07-05 06:45:00,1, 0.000000E+00, 2.922730E+02, 0.000000E+00,-5.389486E+00, 2.901967E+02, 2.919421E+02, 2.920708E+02
2024-07-05 07:15:00,1, 0.000000E+00, 2.922439E+02, 0.000000E+00,-4.700288E+00, 2.905244E+02, 2.920217E+02, 2.921855E+02
2024-07-05 07:45:00,1, 0.000000E+00, 2.919208E+02, 0.000000E+00,-3.469349E+00, 2.910766E+02, 2.918912E+02, 2.921225E+02
2024-07-05 08:15:00,1, 0.000000E+00, 2.916512E+02, 0.000000E+00,-2.339714E+00, 2.913424E+02, 2.915840E+02, 2.918002E+02
2024-07-05 08:45:00,1, 0.000000E+00, 2.915741E+02, 0.000000E+00,-1.295884E+00, 2.913466E+02, 2.914236E+02, 2.915635E+02
2024-07-05 09:15:00,1, 0.000000E+00, 2.915855E+02, 0.000000E+00,-5.713438E-01, 2.912755E+02, 2.914046E+02, 2.915053E+02
2024-07-05 09:45:00,1, 0.000000E+00, 2.916386E+02, 0.000000E+00,-9.933161E-02, 2.912011E+02, 2.914428E+02, 2.915257E+02
2024-07-05 10:15:00,1, 3.227350E+01, 2.929502E+02, 3.877553E+00,-2.546280E+00, 2.914133E+02, 2.919596E+02, 2.917417E+02
2024-07-05 10:45:00,1, 6.133458E+01, 2.941164E+02, 6.559475E+00,-3.895218E+00, 2.918864E+02, 2.932251E+02, 2.931658E+02
2024-07-05 11:15:00,1, 1.049643E+02, 2.952483E+02, 9.281267E+00,-3.364273E+00, 2.926040E+02, 2.943308E+02, 2.944929E+02
2024-07-05 11:45:00,1, 1.389550E+02, 2.963965E+02, 1.071780E+01,-2.083656E+00, 2.934357E+02, 2.954648E+02, 2.957661E+02
2024-07-05 12:15:00,1, 1.566392E+02, 2.968618E+02, 1.137919E+01, 9.124323E+00, 2.939753E+02, 2.966243E+02, 2.969954E+02
2024-07-05 12:45:00,1, 1.858067E+02, 2.967171E+02, 1.188887E+01, 3.788117E+01, 2.943809E+02, 2.973658E+02, 2.976372E+02
2024-07-05 13:15:00,1, 1.834358E+02, 2.976893E+02, 1.144180E+01, 2.140872E+01, 2.947060E+02, 2.972093E+02, 2.974290E+02
2024-07-05 13:45:00,1, 2.053104E+02, 2.970814E+02, 1.188320E+01, 5.442357E+01, 2.950489E+02, 2.982023E+02, 2.985771E+02
2024-07-05 14:15:00,1, 3.680365E+02, 3.016399E+02, 1.251817E+01, 2.360179E+01, 2.959357E+02, 2.987631E+02, 2.987013E+02
2024-07-05 14:45:00,1, 3.961379E+02, 2.982540E+02, 1.217225E+01, 1.391823E+02, 2.967805E+02, 3.024234E+02, 3.033066E+02
2024-07-05 15:15:00,1, 3.814378E+02, 2.992318E+02, 9.351019E+00, 4.667960E+01, 2.976155E+02, 2.995427E+02, 2.996225E+02
2024-07-05 15:45:00,1, 3.982609E+02, 2.987048E+02, 1.208205E+01, 7.797386E+01, 2.982821E+02, 3.008974E+02, 3.011228E+02
2024-07-05 16:15:00,1, 4.807068E+02, 2.996178E+02, 1.089827E+01, 6.391547E+01, 2.994630E+02, 3.009418E+02, 3.007953E+02
2024-07-05 16:45:00,1, 4.888581E+02, 2.991942E+02, 1.101931E+01, 7.804352E+01, 3.007178E+02, 3.018936E+02, 3.018554E+02
2024-07-05 17:15:00,1, 5.687982E+02, 3.002669E+02, 1.050826E+01, 7.563318E+01, 3.025006E+02, 3.020507E+02, 3.016806E+02
2024-07-05 17:45:00,1, 5.642048E+02, 3.001772E+02, 1.053107E+01, 1.010167E+02, 3.042632E+02, 3.031024E+02, 3.028624E+02
2024-07-05 18:15:00,1, 5.611640E+02, 3.008564E+02, 9.729951E+00, 8.774143E+01, 3.050411E+02, 3.030545E+02, 3.026841E+02
2024-07-05 18:45:00,1, 5.425645E+02, 3.007694E+02, 9.953458E+00, 8.927780E+01, 3.052169E+02, 3.035962E+02, 3.033662E+02
2024-07-05 19:15:00,1, 6.490780E+02, 3.015975E+02, 9.516815E+00, 8.724703E+01, 3.062184E+02, 3.040202E+02, 3.036109E+02
2024-07-05 19:45:00,1, 6.098544E+02, 3.013769E+02, 9.275876E+00, 9.680100E+01, 3.072221E+02, 3.044734E+02, 3.042886E+02
2024-07-05 20:15:00,1, 4.666407E+02, 3.014694E+02, 8.961807E+00, 8.124950E+01, 3.071223E+02, 3.034012E+02, 3.033699E+02
2024-07-05 20:45:00,1, 4.232227E+02, 3.014345E+02, 1.000413E+01, 8.637058E+01, 3.066606E+02, 3.032501E+02, 3.033953E+02
2024-07-05 21:15:00,1, 3.839009E+02, 3.014090E+02, 9.741525E+00, 8.058359E+01, 3.061722E+02, 3.029428E+02, 3.031746E+02
2024-07-05 21:45:00,1, 3.313344E+02, 3.012299E+02, 9.859850E+00, 7.550658E+01, 3.056390E+02, 3.025314E+02, 3.029123E+02
2024-07-05 22:15:00,1, 2.362634E+02, 3.006169E+02, 9.682117E+00, 5.506283E+01, 3.049642E+02, 3.017031E+02, 3.022745E+02
2024-07-05 22:45:00,1, 1.873422E+02, 3.000216E+02, 9.717581E+00, 3.164711E+01, 3.043092E+02, 3.008510E+02, 3.014293E+02
2024-07-05 23:15:00,1, 7.946260E+01, 2.992562E+02, 6.671458E+00, 1.577722E+01, 3.034837E+02, 2.998210E+02, 3.003021E+02
