datetime,patch,sw_in_W_m2,cas_temp_K,gpp_umol_m2_s,le_W_m2,soil_temp_top_K,leaf_temp_K,wood_temp_K
2024-07-05 00:15:00,1, 1.765397E+01, 2.904197E+02, 2.094069E+00,-3.343564E+01, 2.883972E+02, 2.882600E+02, 2.881722E+02
2024-07-05 00:45:00,1, 0.000000E+00, 2.919734E+02, 0.000000E+00,-3.004987E+01, 2.886015E+02, 2.905747E+02, 2.900332E+02
2024-07-05 01:15:00,1, 0.000000E+00, 2.922808E+02, 0.000000E+00,-2.653548E+01, 2.888380E+02, 2.917682E+02, 2.915295E+02
2024-07-05 01:45:00,1, 0.000000E+00, 2.921193E+02, 0.000000E+00,-2.249387E+01, 2.890718E+02, 2.918951E+02, 2.920257E+02
2024-07-05 02:15:00,1, 0.000000E+00, 2.919969E+02, 0.000000E+00,-1.869728E+01, 2.892636E+02, 2.917353E+02, 2.920066E+02
2024-07-05 02:45:00,1, 0.000000E+00, 2.920029E+02, 0.000000E+00,-1.561490E+01, 2.894143E+02, 2.916757E+02, 2.919202E+02
2024-07-05 03:15:00,1, 0.000000E+00, 2.920623E+02, 0.000000E+00,-1.320481E+01, 2.895402E+02, 2.917217E+02, 2.919120E+02
2024-07-05 03:45:00,1, 0.000000E+00, 2.921171E+02, 0.000000E+00,-1.130000E+01, 2.896525E+02, 2.917954E+02, 2.919569E+02
2024-07-05 04:15:00,1, 0.000000E+00, 2.921395E+02, 0.000000E+00,-9.667346E+00, 2.897548E+02, 2.918508E+02, 2.920071E+02
2024-07-05 04:45:00,1, 0.000000E+00, 2.921267E+02, 0.000000E+00,-8.257519E+00, 2.898474E+02, 2.918698E+02, 2.920330E+02
2024-07-05 05:15:00,1, 0.000000E+00, 2.921042E+02, 0.000000E+00,-7.053318E+00, 2.899314E+02, 2.918618E+02, 2.920288E+02
2024-07-05 05:45:00,1, 0.000000E+00, 2.920884E+02, 0.000000E+00,-6.033474E+00, 2.900079E+02, 2.918516E+02, 2.920124E+02
2024-07-05 06:15:00,1, 0.000000E+00, 2.921283E+02, 0.000000E+00,-5.504971E+00, 2.900944E+02, 2.918591E+02, 2.920015E+02
2024-07-05 06:45:00,1, 0.000000E+00, 2.922591E+02, 0.000000E+00,-5.405259E+00, 2.901913E+02, 2.919315E+02, 2.920374E+02
2024-07-05 07:15:00,1, 0.000000E+00, 2.922248E+02, 0.000000E+00,-4.715087E+00, 2.905190E+02, 2.920114E+02, 2.921318E+02
2024-07-05 07:45:00,1, 0.000000E+00, 2.918981E+02, 0.000000E+00,-3.483861E+00, 2.910710E+02, 2.918730E+02, 2.920993E+02
2024-07-05 08:15:00,1, 0.000000E+00, 2.916362E+02, 0.000000E+00,-2.355763E+00, 2.913367E+02, 2.915583E+02, 2.918482E+02
2024-07-05 08:45:00,1, 0.000000E+00, 2.915666E+02, 0.000000E+00,-1.313070E+00, 2.913411E+02, 2.914096E+02, 2.916165E+02
2024-07-05 09:15:00,1, 0.000000E+00, 2.915770E+02, 0.000000E+00,-5.875106E-01, 2.912705E+02, 2.913970E+02, 2.915209E+02
2024-07-05 09:45:00,1, 0.000000E+00, 2.916268E+02, 0.000000E+00,-1.139556E-01, 2.911966E+02, 2.914351E+02, 2.915128E+02
2024-07-05 10:15:00,1, 3.227350E+01, 2.929561E+02, 3.877746E+00,-2.557502E+00, 2.914087E+02, 2.919561E+02, 2.916868E+02
2024-07-05 10:45:00,1, 6.133458E+01, 2.940956E+02, 6.559612E+00,-3.870111E+00, 2.918818E+02, 2.932486E+02, 2.928418E+02
